"","y","n_distinct(species)","...1","target_fid","rich_1d_geog","x","rich_2d","depth"
"95",-65.5,1,95,426,1,59.5,1,3510.25
"96",-65.5,1,96,427,1,60.5,1,3753.25
"97",-65.5,1,97,428,1,61.5,1,3876.75
"98",-65.5,1,98,429,1,62.5,1,3892
"99",-65.5,1,99,430,1,63.5,1,3358.25
"100",-65.5,1,100,431,1,64.5,1,2846.75
"101",-65.5,1,101,432,1,65.5,1,2761.5
"102",-65.5,1,102,433,1,66.5,1,3253.75
"103",-65.5,1,103,434,1,67.5,1,2998.25
"104",-65.5,1,104,435,1,68.5,1,2683.25
"105",-65.5,1,105,436,1,69.5,1,2417.5
"106",-65.5,1,106,437,1,70.5,1,2837.75
"107",-65.5,1,107,438,1,71.5,1,2965.25
"108",-65.5,1,108,439,1,72.5,1,2860.75
"109",-65.5,1,109,440,1,73.5,1,3009.5
"110",-65.5,1,110,441,1,74.5,1,2919.25
"111",-65.5,1,111,442,1,75.5,1,3285
"112",-65.5,1,112,443,1,76.5,1,3381.5
"113",-65.5,1,113,444,1,77.5,1,3258.75
"114",-65.5,1,114,445,1,78.5,1,3284.25
"115",-65.5,1,115,446,1,79.5,1,3423.75
"116",-65.5,1,116,447,1,80.5,1,2942.5
"117",-65.5,1,117,448,1,81.5,1,1701.74987793
"118",-65.5,1,118,449,1,82.5,1,2657.49975586
"119",-65.5,1,119,450,1,83.5,1,2555
"120",-65.5,1,120,451,1,84.5,1,2672.5
"121",-65.5,1,121,452,1,85.5,1,2922.25
"122",-65.5,1,122,453,1,86.5,1,2337
"123",-65.5,1,123,454,1,87.5,1,2995.25
"124",-65.5,1,124,455,1,88.5,1,3004.75
"125",-65.5,1,125,456,1,89.5,1,2896
"126",-65.5,1,126,457,1,90.5,1,1660.50012207
"127",-65.5,1,127,459,1,92.5,1,482.249938965
"128",-65.5,1,128,461,1,94.5,1,742.750061035
"129",-64.5,1,129,517,1,21.5,1,4898
"130",-64.5,1,130,518,1,22.5,1,4881.75
"131",-64.5,1,131,519,1,23.5,1,4833.5
"132",-64.5,1,132,520,1,24.5,1,4912
"133",-64.5,1,133,521,1,25.5,1,4966
"134",-64.5,1,134,522,1,26.5,1,5045.5
"135",-64.5,1,135,523,1,27.5,1,5051.5
"136",-64.5,1,136,524,1,28.5,1,5092
"137",-64.5,1,137,525,1,29.5,1,5057
"138",-64.5,1,138,526,1,30.5,1,5023.25
"139",-64.5,1,139,527,1,31.5,1,4736.5
"140",-64.5,1,140,528,1,32.5,1,4648.75
"141",-64.5,1,141,529,1,33.5,1,3923
"142",-64.5,1,142,530,1,34.5,1,4927.75
"143",-64.5,1,143,531,1,35.5,1,4937.75
"144",-64.5,1,144,532,1,36.5,1,4961.75
"145",-64.5,1,145,533,1,37.5,1,4872.25
"146",-64.5,1,146,534,1,38.5,1,4900.25
"147",-64.5,1,147,535,1,39.5,1,4790
"148",-64.5,1,148,536,1,40.5,1,4549.75
"149",-64.5,1,149,537,1,41.5,1,4220.25
"150",-64.5,1,150,538,1,42.5,1,4661.75
"151",-64.5,1,151,539,1,43.5,1,4539.75
"152",-64.5,1,152,540,1,44.5,1,4160.5
"153",-64.5,1,153,541,1,45.5,1,3954.25
"154",-64.5,1,154,542,1,46.5,1,3967.75
"155",-64.5,1,155,543,1,47.5,1,2897
"156",-64.5,1,156,544,1,48.5,1,3971
"157",-64.5,1,157,545,1,49.5,1,3513.75
"158",-64.5,1,158,546,1,50.5,1,3535.25
"159",-64.5,1,159,547,1,51.5,1,2891.5
"160",-64.5,1,160,548,1,52.5,1,3955.99975586
"161",-64.5,1,161,549,1,53.5,1,3441.5
"162",-64.5,1,162,550,1,54.5,1,3883
"163",-64.5,1,163,551,1,55.5,1,4031.5
"164",-64.5,1,164,552,1,56.5,1,4063
"165",-64.5,1,165,553,1,57.5,1,3988
"166",-64.5,1,166,554,1,58.5,1,3978
"167",-64.5,1,167,555,1,59.5,1,4093.5
"168",-64.5,1,168,556,1,60.5,1,4234.5
"169",-64.5,1,169,557,1,61.5,1,3932
"170",-64.5,1,170,558,1,62.5,1,3597.75
"171",-64.5,1,171,559,1,63.5,1,3705.5
"172",-64.5,1,172,560,1,64.5,1,3905.5
"173",-64.5,1,173,561,1,65.5,1,3775.75
"174",-64.5,1,174,562,1,66.5,1,3497
"175",-64.5,1,175,563,1,67.5,1,3374
"176",-64.5,1,176,564,1,68.5,1,3190
"177",-64.5,1,177,565,1,69.5,1,3131
"178",-64.5,1,178,566,1,70.5,1,3295
"179",-64.5,1,179,567,1,71.5,1,3312
"180",-64.5,1,180,568,1,72.5,1,3538.75
"181",-64.5,1,181,569,1,73.5,1,3616.75
"182",-64.5,1,182,570,1,74.5,1,3455
"183",-64.5,1,183,571,1,75.5,1,3430.75
"184",-64.5,1,184,572,1,76.5,1,3478
"185",-64.5,1,185,573,1,77.5,1,3560.75
"186",-64.5,1,186,574,1,78.5,1,3589.75
"187",-64.5,1,187,575,1,79.5,1,3585
"188",-64.5,1,188,576,1,80.5,1,3541
"189",-64.5,1,189,577,1,81.5,1,3579.75
"190",-64.5,1,190,578,1,82.5,1,3538.75
"191",-64.5,1,191,579,1,83.5,1,3517.75
"192",-64.5,1,192,580,1,84.5,1,3570.75
"193",-64.5,1,193,581,1,85.5,1,3523
"194",-64.5,1,194,582,1,86.5,1,3507.75
"195",-64.5,1,195,583,1,87.5,1,3387
"196",-64.5,1,196,584,1,88.5,1,3672
"197",-64.5,1,197,585,1,89.5,1,3721
"198",-64.5,1,198,586,1,90.5,1,3460.5
"199",-64.5,1,199,587,1,91.5,1,3000
"200",-64.5,1,200,588,1,92.5,1,2977.75
"201",-64.5,1,201,589,1,93.5,1,2731.5
"202",-64.5,1,202,590,1,94.5,1,2115.75
"203",-64.5,1,203,595,1,99.5,1,626.5
"204",-64.5,1,204,598,1,102.5,1,1551.75
"205",-64.5,1,205,599,1,103.5,1,822.250061035
"206",-64.5,1,206,600,1,104.5,1,2072.74951172
"207",-64.5,1,207,601,1,105.5,1,2005.25012207
"208",-64.5,1,208,602,1,106.5,1,2619.25
"209",-64.5,1,209,603,1,107.5,1,3216.75
"210",-64.5,1,210,604,1,108.5,1,2988.75
"211",-64.5,1,211,605,1,109.5,1,3146
"212",-64.5,1,212,606,1,110.5,1,2721.25
"213",-64.5,1,213,607,1,111.5,1,2764.75
"214",-64.5,1,214,608,1,112.5,1,2291.75
"215",-64.5,1,215,609,1,113.5,1,2396.99975586
"216",-64.5,1,216,610,1,114.5,1,1861
"217",-64.5,1,217,611,1,115.5,1,2116
"218",-64.5,1,218,612,1,116.5,1,2107.25
"219",-64.5,1,219,613,1,117.5,1,2673.75
"220",-64.5,1,220,614,1,118.5,1,3148
"221",-64.5,1,221,615,1,119.5,1,3184.5
"222",-64.5,1,222,616,1,120.5,1,3355.75
"223",-64.5,1,223,617,1,121.5,1,2983.5
"224",-64.5,1,224,618,1,122.5,1,2621.5
"225",-64.5,1,225,619,1,123.5,1,2914.25
"226",-64.5,1,226,620,1,124.5,1,2499.25
"227",-64.5,1,227,621,1,125.5,1,3353.25
"228",-64.5,1,228,622,1,126.5,1,2920.25
"229",-63.5,1,229,647,1,22.5,1,4962.75
"230",-63.5,1,230,648,1,23.5,1,5005.75
"231",-63.5,1,231,649,1,24.5,1,4975.5
"232",-63.5,1,232,650,1,25.5,1,5057.75
"233",-63.5,1,233,651,1,26.5,1,5092
"234",-63.5,1,234,652,1,27.5,1,5135
"235",-63.5,1,235,653,1,28.5,1,5122
"236",-63.5,1,236,654,1,29.5,1,5096
"237",-63.5,1,237,655,1,30.5,1,5123.75
"238",-63.5,1,238,656,1,31.5,1,5087.5
"239",-63.5,1,239,657,1,32.5,1,5044.75
"240",-63.5,1,240,658,1,33.5,1,5069
"241",-63.5,1,241,659,1,34.5,1,5139
"242",-63.5,1,242,660,1,35.5,1,5045.75
"243",-63.5,1,243,661,1,36.5,1,5098
"244",-63.5,1,244,662,1,37.5,1,5036.25
"245",-63.5,1,245,663,1,38.5,1,4997
"246",-63.5,1,246,664,1,39.5,1,5003.5
"247",-63.5,1,247,665,1,40.5,1,4866.5
"248",-63.5,1,248,666,1,41.5,1,4798
"249",-63.5,1,249,667,1,42.5,1,4829.75
"250",-63.5,1,250,668,1,43.5,1,4881
"251",-63.5,1,251,669,1,44.5,1,4760.25
"252",-63.5,1,252,670,1,45.5,1,4460.5
"253",-63.5,1,253,671,1,46.5,1,4315.25
"254",-63.5,1,254,672,1,47.5,1,4579.25
"255",-63.5,1,255,673,1,48.5,1,4765.25
"256",-63.5,1,256,674,1,49.5,1,4752
"257",-63.5,1,257,675,1,50.5,1,4723.25
"258",-63.5,1,258,676,1,51.5,1,4780.5
"259",-63.5,1,259,677,1,52.5,1,4616.5
"260",-63.5,1,260,678,1,53.5,1,4645.25
"261",-63.5,1,261,679,1,54.5,1,4691.5
"262",-63.5,1,262,680,1,55.5,1,4843
"263",-63.5,1,263,681,1,56.5,1,4760.25
"264",-63.5,1,264,682,1,57.5,1,4667.75
"265",-63.5,1,265,683,1,58.5,1,4521.5
"266",-63.5,1,266,684,1,59.5,1,4298.5
"267",-63.5,1,267,685,1,60.5,1,4381.5
"268",-63.5,1,268,686,1,61.5,1,4451.25
"269",-63.5,1,269,687,1,62.5,1,4152.75
"270",-63.5,1,270,688,1,63.5,1,4072
"271",-63.5,1,271,689,1,64.5,1,4198.75
"272",-63.5,1,272,690,1,65.5,1,4053
"273",-63.5,1,273,691,1,66.5,1,3984.25
"274",-63.5,1,274,692,1,67.5,1,3833.25
"275",-63.5,1,275,693,1,68.5,1,3756.25
"276",-63.5,1,276,694,1,69.5,1,3729.5
"277",-63.5,1,277,695,1,70.5,1,3746.75
"278",-63.5,1,278,696,1,71.5,1,3771
"279",-63.5,1,279,697,1,72.5,1,3808
"280",-63.5,1,280,698,1,73.5,1,3816.25
"281",-63.5,1,281,699,1,74.5,1,3784
"282",-63.5,1,282,700,1,75.5,1,3697
"283",-63.5,1,283,701,1,76.5,1,3694
"284",-63.5,1,284,702,1,77.5,1,3705.75
"285",-63.5,1,285,703,1,78.5,1,3663.75
"286",-63.5,1,286,704,1,79.5,1,3904.25
"287",-63.5,1,287,705,1,80.5,1,3033.25
"288",-63.5,1,288,706,1,81.5,1,3469.5
"289",-63.5,1,289,707,1,82.5,1,2689.25
"290",-63.5,1,290,708,1,83.5,1,2936.25
"291",-63.5,1,291,709,1,84.5,1,3567
"292",-63.5,1,292,710,1,85.5,1,3697
"293",-63.5,1,293,711,1,86.5,1,3766.25
"294",-63.5,1,294,712,1,87.5,1,3763
"295",-63.5,1,295,713,1,88.5,1,3710.25
"296",-63.5,1,296,714,1,89.5,1,3826.75
"297",-63.5,1,297,715,1,90.5,1,3790.25
"298",-63.5,1,298,716,1,91.5,1,3681
"299",-63.5,1,299,717,1,92.5,1,3673.25
"300",-63.5,1,300,718,1,93.5,1,3152.5
"301",-63.5,1,301,719,1,94.5,1,2979.75
"302",-63.5,1,302,720,1,95.5,1,3077.75
"303",-63.5,1,303,721,1,96.5,1,2400
"304",-63.5,1,304,722,1,97.5,1,2327.25
"305",-63.5,1,305,723,1,98.5,1,1636.5
"306",-63.5,1,306,724,1,99.5,1,1688.99987793
"307",-63.5,1,307,725,1,100.5,1,1400.25012207
"308",-63.5,1,308,726,1,101.5,1,1045.24987793
"309",-63.5,1,309,727,1,102.5,1,1497.49987793
"310",-63.5,1,310,728,1,103.5,1,3106
"311",-63.5,1,311,729,1,104.5,1,3643.75
"312",-63.5,1,312,730,1,105.5,1,3777
"313",-63.5,1,313,731,1,106.5,1,3243.25
"314",-63.5,1,314,732,1,107.5,1,3103
"315",-63.5,1,315,733,1,108.5,1,3669
"316",-63.5,1,316,734,1,109.5,1,3802.75
"317",-63.5,1,317,735,1,110.5,1,3696.25
"318",-63.5,1,318,736,1,111.5,1,3470.25
"319",-63.5,1,319,737,1,112.5,1,3285
"320",-63.5,1,320,738,1,113.5,1,3258
"321",-63.5,1,321,739,1,114.5,1,2678.5
"322",-63.5,1,322,740,1,115.5,1,2691.75
"323",-63.5,1,323,741,1,116.5,1,2821
"324",-63.5,1,324,742,1,117.5,1,3180.5
"325",-63.5,1,325,743,1,118.5,1,3505
"326",-63.5,1,326,744,1,119.5,1,3578.5
"327",-63.5,1,327,745,1,120.5,1,3658.5
"328",-63.5,1,328,746,1,121.5,1,3747.5
"329",-63.5,1,329,747,1,122.5,1,3834
"330",-63.5,1,330,748,1,123.5,1,3854.75
"331",-63.5,1,331,749,1,124.5,1,3804
"332",-63.5,1,332,750,1,125.5,1,3771.5
"333",-63.5,1,333,751,1,126.5,1,3719.5
"334",-63.5,1,334,752,1,127.5,1,3913
"335",-63.5,1,335,753,1,128.5,1,4003.25
"336",-62.5,1,336,776,1,22.5,1,5010.5
"337",-62.5,1,337,777,1,23.5,1,5041.5
"338",-62.5,1,338,778,1,24.5,1,5139
"339",-62.5,1,339,779,1,25.5,1,5103
"340",-62.5,1,340,780,1,26.5,1,5142.25
"341",-62.5,1,341,781,1,27.5,1,5164
"342",-62.5,1,342,782,1,28.5,1,5182.5
"343",-62.5,1,343,783,1,29.5,1,5200
"344",-62.5,1,344,784,1,30.5,1,5149.25
"345",-62.5,1,345,785,1,31.5,1,5113.25
"346",-62.5,1,346,786,1,32.5,1,5131.5
"347",-62.5,1,347,787,1,33.5,1,5184.25
"348",-62.5,1,348,788,1,34.5,1,5162.5
"349",-62.5,1,349,789,1,35.5,1,5174
"350",-62.5,1,350,790,1,36.5,1,5136.75
"351",-62.5,1,351,791,1,37.5,1,5134
"352",-62.5,1,352,792,1,38.5,1,5137
"353",-62.5,1,353,793,1,39.5,1,5111.25
"354",-62.5,1,354,794,1,40.5,1,5072
"355",-62.5,1,355,795,1,41.5,1,5080
"356",-62.5,1,356,796,1,42.5,1,5052
"357",-62.5,1,357,797,1,43.5,1,4987.25
"358",-62.5,1,358,798,1,44.5,1,4902.75
"359",-62.5,1,359,799,1,45.5,1,4730.5
"360",-62.5,1,360,800,1,46.5,1,4961.25
"361",-62.5,1,361,801,1,47.5,1,4814
"362",-62.5,1,362,802,1,48.5,1,5029.5
"363",-62.5,1,363,803,1,49.5,1,5060
"364",-62.5,1,364,804,1,50.5,1,5062
"365",-62.5,1,365,805,1,51.5,1,5118.5
"366",-62.5,1,366,806,1,52.5,1,5064.25
"367",-62.5,1,367,807,1,53.5,1,5078.75
"368",-62.5,1,368,808,1,54.5,1,5054.75
"369",-62.5,1,369,809,1,55.5,1,4884.75
"370",-62.5,1,370,810,1,56.5,1,4835
"371",-62.5,1,371,811,1,57.5,1,4744
"372",-62.5,1,372,812,1,58.5,1,4696
"373",-62.5,1,373,813,1,59.5,1,4612.25
"374",-62.5,1,374,814,1,60.5,1,4632.25
"375",-62.5,1,375,815,1,61.5,1,4603.25
"376",-62.5,1,376,816,1,62.5,1,4523.25
"377",-62.5,1,377,817,1,63.5,1,4328.5
"378",-62.5,1,378,818,1,64.5,1,4341
"379",-62.5,1,379,819,1,65.5,1,4356
"380",-62.5,1,380,820,1,66.5,1,4356.5
"381",-62.5,1,381,821,1,67.5,1,4342
"382",-62.5,1,382,822,1,68.5,1,4242
"383",-62.5,1,383,823,1,69.5,1,4123.75
"384",-62.5,1,384,824,1,70.5,1,4052
"385",-62.5,1,385,825,1,71.5,1,4014.25
"386",-62.5,1,386,826,1,72.5,1,3961.75
"387",-62.5,1,387,827,1,73.5,1,3943
"388",-62.5,1,388,828,1,74.5,1,3902
"389",-62.5,1,389,829,1,75.5,1,3894
"390",-62.5,1,390,830,1,76.5,1,3909.25
"391",-62.5,1,391,831,1,77.5,1,3896.5
"392",-62.5,1,392,832,1,78.5,1,3791.25
"393",-62.5,1,393,833,1,79.5,1,3031.75
"394",-62.5,1,394,834,1,80.5,1,2477.75
"395",-62.5,1,395,835,1,81.5,1,1846.75
"396",-62.5,1,396,836,1,82.5,1,2281.25
"397",-62.5,1,397,837,1,83.5,1,2495.5
"398",-62.5,1,398,838,1,84.5,1,2943.25
"399",-62.5,1,399,839,1,85.5,1,3350.25
"400",-62.5,1,400,840,1,86.5,1,3720.75
"401",-62.5,1,401,841,1,87.5,1,3762.5
"402",-62.5,1,402,842,1,88.5,1,3549.49975586
"403",-62.5,1,403,843,1,89.5,1,3900.75
"404",-62.5,1,404,844,1,90.5,1,3874
"405",-62.5,1,405,845,1,91.5,1,3825.25
"406",-62.5,1,406,846,1,92.5,1,3873.25
"407",-62.5,1,407,847,1,93.5,1,3765.5
"408",-62.5,1,408,848,1,94.5,1,3544
"409",-62.5,1,409,849,1,95.5,1,3727.75
"410",-62.5,1,410,850,1,96.5,1,3716.5
"411",-62.5,1,411,851,1,97.5,1,3934.25
"412",-62.5,1,412,852,1,98.5,1,4002.25
"413",-62.5,1,413,853,1,99.5,1,4108.75
"414",-62.5,1,414,854,1,100.5,1,4306.25
"415",-62.5,1,415,855,1,101.5,1,4290
"416",-62.5,1,416,856,1,102.5,1,4138.5
"417",-62.5,1,417,857,1,103.5,1,4162
"418",-62.5,1,418,858,1,104.5,1,4123
"419",-62.5,1,419,859,1,105.5,1,4170.75
"420",-62.5,1,420,860,1,106.5,1,4077.75
"421",-62.5,1,421,861,1,107.5,1,4011.75
"422",-62.5,1,422,862,1,108.5,1,3858.5
"423",-62.5,1,423,863,1,109.5,1,3781
"424",-62.5,1,424,864,1,110.5,1,3932.5
"425",-62.5,1,425,865,1,111.5,1,4007.25
"426",-62.5,1,426,866,1,112.5,1,3944.5
"427",-62.5,1,427,867,1,113.5,1,4012.75
"428",-62.5,1,428,868,1,114.5,1,3992.75
"429",-62.5,1,429,869,1,115.5,1,3961.25
"430",-62.5,1,430,870,1,116.5,1,3928
"431",-62.5,1,431,871,1,117.5,1,3981.75
"432",-62.5,1,432,872,1,118.5,1,4023
"433",-62.5,1,433,873,1,119.5,1,4066.5
"434",-62.5,1,434,874,1,120.5,1,3961
"435",-62.5,1,435,875,1,121.5,1,4014
"436",-62.5,1,436,876,1,122.5,1,4124
"437",-62.5,1,437,877,1,123.5,1,4139
"438",-62.5,1,438,878,1,124.5,1,4188.75
"439",-62.5,1,439,879,1,125.5,1,4232
"440",-62.5,1,440,880,1,126.5,1,4198
"441",-62.5,1,441,881,1,127.5,1,4264
"442",-62.5,1,442,882,1,128.5,1,4312
"443",-62.5,1,443,883,1,129.5,1,4356.75
"444",-61.5,1,444,905,1,22.5,1,5103
"445",-61.5,1,445,906,1,23.5,1,5015
"446",-61.5,1,446,907,1,24.5,1,5179.25
"447",-61.5,1,447,908,1,25.5,1,5205.5
"448",-61.5,1,448,909,1,26.5,1,5198
"449",-61.5,1,449,910,1,27.5,1,5237.75
"450",-61.5,1,450,911,1,28.5,1,5231
"451",-61.5,1,451,912,1,29.5,1,5238.25
"452",-61.5,1,452,913,1,30.5,1,5226
"453",-61.5,1,453,914,1,31.5,1,5192
"454",-61.5,1,454,915,1,32.5,1,5198
"455",-61.5,1,455,916,1,33.5,1,5225.25
"456",-61.5,1,456,917,1,34.5,1,5253.25
"457",-61.5,1,457,918,1,35.5,1,5266.25
"458",-61.5,1,458,919,1,36.5,1,5286.75
"459",-61.5,1,459,920,1,37.5,1,5286.25
"460",-61.5,1,460,921,1,38.5,1,5282
"461",-61.5,1,461,922,1,39.5,1,5236.75
"462",-61.5,1,462,923,1,40.5,1,5255
"463",-61.5,1,463,924,1,41.5,1,5249.75
"464",-61.5,1,464,925,1,42.5,1,5292
"465",-61.5,1,465,926,1,43.5,1,5274
"466",-61.5,1,466,927,1,44.5,1,5250.75
"467",-61.5,1,467,928,1,45.5,1,5250.25
"468",-61.5,1,468,929,1,46.5,1,5272.25
"469",-61.5,1,469,930,1,47.5,1,5273.25
"470",-61.5,1,470,931,1,48.5,1,5327.5
"471",-61.5,1,471,932,1,49.5,1,5296.5
"472",-61.5,1,472,933,1,50.5,1,5231.25
"473",-61.5,1,473,934,1,51.5,1,5307
"474",-61.5,1,474,935,1,52.5,1,5250.75
"475",-61.5,1,475,936,1,53.5,1,5203.75
"476",-61.5,1,476,937,1,54.5,1,5119.75
"477",-61.5,1,477,938,1,55.5,1,5048.75
"478",-61.5,1,478,939,1,56.5,1,4959.5
"479",-61.5,1,479,940,1,57.5,1,4988.75
"480",-61.5,1,480,941,1,58.5,1,4755.75
"481",-61.5,1,481,942,1,59.5,1,4827.75
"482",-61.5,1,482,943,1,60.5,1,4790.25
"483",-61.5,1,483,944,1,61.5,1,4628.5
"484",-61.5,1,484,945,1,62.5,1,4545.5
"485",-61.5,1,485,946,1,63.5,1,4585.75
"486",-61.5,1,486,947,1,64.5,1,4520.5
"487",-61.5,1,487,948,1,65.5,1,4514.25
"488",-61.5,1,488,949,1,66.5,1,4482
"489",-61.5,1,489,950,1,67.5,1,4403
"490",-61.5,1,490,951,1,68.5,1,4318.75
"491",-61.5,1,491,952,1,69.5,1,4225.75
"492",-61.5,1,492,953,1,70.5,1,4192.5
"493",-61.5,1,493,954,1,71.5,1,4283.25
"494",-61.5,1,494,955,1,72.5,1,4114.75
"495",-61.5,1,495,956,1,73.5,1,3985
"496",-61.5,1,496,957,1,74.5,1,3992
"497",-61.5,1,497,958,1,75.5,1,3797.5
"498",-61.5,1,498,959,1,76.5,1,3783
"499",-61.5,1,499,960,1,77.5,1,3705.75
"500",-61.5,1,500,961,1,78.5,1,3165.75
"501",-61.5,1,501,962,1,79.5,1,2813
"502",-61.5,1,502,963,1,80.5,1,2449.75
"503",-61.5,1,503,964,1,81.5,1,2191
"504",-61.5,1,504,965,1,82.5,1,2121.5
"505",-61.5,1,505,966,1,83.5,1,2494.75
"506",-61.5,1,506,967,1,84.5,1,3057.75
"507",-61.5,1,507,968,1,85.5,1,3408.75
"508",-61.5,1,508,969,1,86.5,1,3521
"509",-61.5,1,509,970,1,87.5,1,3771.25
"510",-61.5,1,510,971,1,88.5,1,3986.75
"511",-61.5,1,511,972,1,89.5,1,4051.25
"512",-61.5,1,512,973,1,90.5,1,4145.5
"513",-61.5,1,513,974,1,91.5,1,4154.5
"514",-61.5,1,514,975,1,92.5,1,4168.5
"515",-61.5,1,515,976,1,93.5,1,4120.25
"516",-61.5,1,516,977,1,94.5,1,4108
"517",-61.5,1,517,978,1,95.5,1,4097
"518",-61.5,1,518,979,1,96.5,1,4184
"519",-61.5,1,519,980,1,97.5,1,4441.25
"520",-61.5,1,520,981,1,98.5,1,4533.5
"521",-61.5,1,521,982,1,99.5,1,4553.75
"522",-61.5,1,522,983,1,100.5,1,4864.5
"523",-61.5,1,523,984,1,101.5,1,4492
"524",-61.5,1,524,985,1,102.5,1,4190
"525",-61.5,1,525,986,1,103.5,1,4514.75
"526",-61.5,1,526,987,1,104.5,1,4370
