"","TARGET_FID","richness","species1","depth","x","y"
"59",-7108,1,"Bathypathes patula",4958.25,158.5,37.5
"60",-7066,1,"Bathypathes patula",3770,178.5,36.5
"61",-7065,1,"Bathypathes patula",3946.24975586,177.5,36.5
"62",-7064,1,"Bathypathes patula",3842.25097656,176.5,36.5
"63",-7063,1,"Bathypathes patula",3679.49975586,175.5,36.5
"64",-7062,1,"Bathypathes patula",5181.25,174.5,36.5
"65",-7059,1,"Bathypathes patula",3992.0012207,171.5,36.5
"66",-7058,1,"Bathypathes patula",5139,170.5,36.5
"67",-7057,1,"Bathypathes patula",5210,169.5,36.5
"68",-7056,1,"Bathypathes patula",4314.49951172,168.5,36.5
"69",-7050,1,"Bathypathes patula",4872.75,162.5,36.5
"70",-7049,1,"Bathypathes patula",4727.25,161.5,36.5
"71",-7048,1,"Bathypathes patula",5175.25,160.5,36.5
"72",-7047,1,"Bathypathes patula",4483,159.5,36.5
"73",-7046,1,"Bathypathes patula",3232.75,158.5,36.5
"74",-7045,1,"Bathypathes patula",4469.25,157.5,36.5
"75",-7004,1,"Bathypathes patula",4115.5,178.5,35.5
"76",-7003,2,"Alternatipathes alternata",3931.75,177.5,35.5
"77",-7003,2,"Bathypathes patula",3931.75,177.5,35.5
"78",-7002,1,"Bathypathes patula",4750.75,176.5,35.5
"79",-7001,1,"Bathypathes patula",4998,175.5,35.5
"80",-7000,1,"Bathypathes patula",4791.74951172,174.5,35.5
"81",-6999,1,"Bathypathes patula",4938.5,173.5,35.5
"82",-6998,1,"Bathypathes patula",4964.25,172.5,35.5
"83",-6997,2,"Trissopathes pseudotristicha",352.75,171.5,35.5
"84",-6997,2,"Bathypathes patula",352.75,171.5,35.5
"85",-6996,1,"Bathypathes patula",4914,170.5,35.5
"86",-6988,1,"Bathypathes patula",4959.75,162.5,35.5
"87",-6987,1,"Bathypathes patula",4197,161.5,35.5
"88",-6986,1,"Bathypathes patula",4240.5,160.5,35.5
"89",-6985,1,"Bathypathes patula",4736.5,159.5,35.5
"90",-6984,1,"Bathypathes patula",4141.75,158.5,35.5
"91",-6983,1,"Bathypathes patula",4514.5,157.5,35.5
"92",-6966,1,"Dendropathes intermedia",18.9999961853,140.5,35.5
"93",-6942,1,"Bathypathes patula",3398.00024414,178.5,34.5
"94",-6941,3,"Bathypathes patula",3574,177.5,34.5
"95",-6941,3,"Abyssopathes lyra",3574,177.5,34.5
"96",-6941,3,"Alternatipathes alternata",3574,177.5,34.5
"97",-6940,2,"Alternatipathes alternata",4564.75048828,176.5,34.5
"98",-6940,2,"Bathypathes patula",4564.75048828,176.5,34.5
"99",-6939,2,"Bathypathes patula",4322,175.5,34.5
"100",-6939,2,"Alternatipathes alternata",4322,175.5,34.5
"101",-6938,1,"Bathypathes patula",4109.5,174.5,34.5
"102",-6937,1,"Bathypathes patula",3120.74951172,173.5,34.5
"103",-6935,1,"Bathypathes patula",4132.25048828,171.5,34.5
"104",-6925,2,"Schizopathes affinis",4701.75,161.5,34.5
"105",-6925,2,"Bathypathes patula",4701.75,161.5,34.5
"106",-6924,2,"Bathypathes patula",3637.49975586,160.5,34.5
"107",-6924,2,"Schizopathes affinis",3637.49975586,160.5,34.5
"108",-6923,2,"Schizopathes affinis",3607.74975586,159.5,34.5
"109",-6923,2,"Bathypathes patula",3607.74975586,159.5,34.5
"110",-6922,2,"Bathypathes patula",4288,158.5,34.5
"111",-6922,2,"Schizopathes affinis",4288,158.5,34.5
"112",-6921,1,"Bathypathes patula",5143.75,157.5,34.5
"113",-6903,3,"Dendropathes intermedia",104.999977112,139.5,34.5
"114",-6903,3,"Cirrhipathes spiralis",104.999977112,139.5,34.5
"115",-6903,3,"Antipathes pauroclema",104.999977112,139.5,34.5
"116",-6880,1,"Bathypathes patula",2927.25024414,178.5,33.5
"117",-6879,3,"Abyssopathes lyra",3502.00024414,177.5,33.5
"118",-6879,3,"Bathypathes patula",3502.00024414,177.5,33.5
"119",-6879,3,"Alternatipathes alternata",3502.00024414,177.5,33.5
"120",-6878,2,"Alternatipathes alternata",2918.00048828,176.5,33.5
"121",-6878,2,"Bathypathes patula",2918.00048828,176.5,33.5
"122",-6877,3,"Alternatipathes alternata",2516.5,175.5,33.5
"123",-6877,3,"Bathypathes patula",2516.5,175.5,33.5
"124",-6877,3,"Trissopathes pseudotristicha",2516.5,175.5,33.5
"125",-6876,2,"Alternatipathes alternata",3753.50024414,174.5,33.5
"126",-6876,2,"Bathypathes patula",3753.50024414,174.5,33.5
"127",-6875,1,"Bathypathes patula",5111,173.5,33.5
"128",-6874,1,"Bathypathes patula",5289.25,172.5,33.5
"129",-6873,1,"Bathypathes patula",4708.00048828,171.5,33.5
"130",-6862,2,"Bathypathes patula",3797.74926758,160.5,33.5
"131",-6862,2,"Schizopathes affinis",3797.74926758,160.5,33.5
"132",-6861,2,"Bathypathes patula",3626.49975586,159.5,33.5
"133",-6861,2,"Schizopathes affinis",3626.49975586,159.5,33.5
"134",-6860,2,"Bathypathes patula",3148.25024414,158.5,33.5
"135",-6860,2,"Schizopathes affinis",3148.25024414,158.5,33.5
"136",-6859,1,"Bathypathes patula",4528.75,157.5,33.5
"137",-6842,3,"Cirrhipathes spiralis",1085.24975586,140.5,33.5
"138",-6842,3,"Trissopathes pseudotristicha",1085.24975586,140.5,33.5
"139",-6842,3,"Dendropathes intermedia",1085.24975586,140.5,33.5
"140",-6841,2,"Trissopathes pseudotristicha",1451.49987793,139.5,33.5
"141",-6841,2,"Cirrhipathes spiralis",1451.49987793,139.5,33.5
"142",-6838,1,"Trissopathes pseudotristicha",2082.75,136.5,33.5
"143",-6837,1,"Myriopathes bifaria",119.000190735,135.5,33.5
"144",-6831,1,"Myriopathes bifaria",42.0000572205,129.5,33.5
"145",-6830,1,"Myriopathes bifaria",129.5,128.5,33.5
"146",-6817,1,"Abyssopathes lyra",5338,177.5,32.5
"147",-6816,1,"Abyssopathes lyra",5380.5,176.5,32.5
"148",-6813,1,"Bathypathes patula",5165.5,173.5,32.5
"149",-6812,2,"Alternatipathes alternata",4033.75,172.5,32.5
"150",-6812,2,"Bathypathes patula",4033.75,172.5,32.5
"151",-6810,1,"Bathypathes patula",4927.5,170.5,32.5
"152",-6800,1,"Bathypathes patula",5184.25,160.5,32.5
"153",-6799,2,"Bathypathes patula",4139.25,159.5,32.5
"154",-6799,2,"Schizopathes affinis",4139.25,159.5,32.5
"155",-6798,3,"Bathypathes patula",2493.5,158.5,32.5
"156",-6798,3,"Trissopathes pseudotristicha",2493.5,158.5,32.5
"157",-6798,3,"Schizopathes affinis",2493.5,158.5,32.5
"158",-6797,2,"Bathypathes patula",3017.00024414,157.5,32.5
"159",-6797,2,"Schizopathes affinis",3017.00024414,157.5,32.5
"160",-6796,1,"Bathypathes patula",4708.25,156.5,32.5
"161",-6795,1,"Bathypathes patula",4529,155.5,32.5
"162",-6794,1,"Bathypathes patula",4852.75,154.5,32.5
"163",-6788,1,"Bathypathes patula",5252.00048828,148.5,32.5
"164",-6780,1,"Trissopathes pseudotristicha",2228.50024414,140.5,32.5
"165",-6779,3,"Trissopathes pseudotristicha",701.500244141,139.5,32.5
"166",-6779,3,"Cirrhipathes spiralis",701.500244141,139.5,32.5
"167",-6779,3,"Dendropathes intermedia",701.500244141,139.5,32.5
"168",-6773,1,"Trissopathes pseudotristicha",973.249938965,133.5,32.5
"169",-6772,1,"Trissopathes pseudotristicha",1327.75024414,132.5,32.5
"170",-6770,2,"Myriopathes bifaria",9.75001335144,130.5,32.5
"171",-6770,2,"Cirrhipathes anguina",9.75001335144,130.5,32.5
"172",-6769,4,"Myriopathes ulex",101,129.5,32.5
"173",-6769,4,"Myriopathes bifaria",101,129.5,32.5
"174",-6769,4,"Cirrhipathes anguina",101,129.5,32.5
"175",-6769,4,"Antipathes densa",101,129.5,32.5
"176",-6768,4,"Trissopathes pseudotristicha",289.750091553,128.5,32.5
"177",-6768,4,"Antipathes densa",289.750091553,128.5,32.5
"178",-6768,4,"Cirrhipathes anguina",289.750091553,128.5,32.5
"179",-6768,4,"Myriopathes ulex",289.750091553,128.5,32.5
"180",-6767,4,"Myriopathes ulex",139,127.5,32.5
"181",-6767,4,"Myriopathes bifaria",139,127.5,32.5
"182",-6767,4,"Antipathes densa",139,127.5,32.5
"183",-6767,4,"Cirrhipathes anguina",139,127.5,32.5
"184",-6766,3,"Myriopathes japonica",111,126.5,32.5
"185",-6766,3,"Myriopathes bifaria",111,126.5,32.5
"186",-6766,3,"Cirrhipathes anguina",111,126.5,32.5
"187",-6756,1,"Bathypathes patula",5250.5,178.5,31.5
"188",-6755,1,"Abyssopathes lyra",5328.75,177.5,31.5
"189",-6754,1,"Abyssopathes lyra",5315,176.5,31.5
"190",-6752,1,"Bathypathes patula",5201.25,174.5,31.5
"191",-6737,2,"Schizopathes affinis",3844.75024414,159.5,31.5
"192",-6737,2,"Bathypathes patula",3844.75024414,159.5,31.5
"193",-6736,2,"Bathypathes patula",3227.50024414,158.5,31.5
"194",-6736,2,"Schizopathes affinis",3227.50024414,158.5,31.5
"195",-6735,2,"Schizopathes affinis",3891,157.5,31.5
"196",-6735,2,"Bathypathes patula",3891,157.5,31.5
"197",-6734,2,"Bathypathes patula",4322.25,156.5,31.5
"198",-6734,2,"Schizopathes affinis",4322.25,156.5,31.5
"199",-6733,1,"Bathypathes patula",4922,155.5,31.5
"200",-6718,2,"Cirrhipathes spiralis",2013.49987793,140.5,31.5
"201",-6718,2,"Trissopathes pseudotristicha",2013.49987793,140.5,31.5
"202",-6717,3,"Stichopathes spiessi",1252.25,139.5,31.5
"203",-6717,3,"Trissopathes pseudotristicha",1252.25,139.5,31.5
"204",-6717,3,"Cirrhipathes spiralis",1252.25,139.5,31.5
"205",-6710,1,"Trissopathes pseudotristicha",2337.50024414,132.5,31.5
"206",-6709,4,"Myriopathes ulex",120.499969482,131.5,31.5
"207",-6709,4,"Antipathes densa",120.499969482,131.5,31.5
"208",-6709,4,"Cirrhipathes anguina",120.499969482,131.5,31.5
"209",-6709,4,"Myriopathes bifaria",120.499969482,131.5,31.5
"210",-6707,2,"Trissopathes pseudotristicha",703.75,129.5,31.5
"211",-6707,2,"Stichopathes spiessi",703.75,129.5,31.5
"212",-6706,2,"Trissopathes pseudotristicha",529.249938965,128.5,31.5
"213",-6706,2,"Stichopathes spiessi",529.249938965,128.5,31.5
"214",-6705,5,"Myriopathes japonica",133.249984741,127.5,31.5
"215",-6705,5,"Antipathes densa",133.249984741,127.5,31.5
"216",-6705,5,"Cirrhipathes anguina",133.249984741,127.5,31.5
"217",-6705,5,"Myriopathes bifaria",133.249984741,127.5,31.5
"218",-6705,5,"Myriopathes ulex",133.249984741,127.5,31.5
"219",-6704,3,"Myriopathes japonica",85.2499923706,126.5,31.5
"220",-6704,3,"Cirrhipathes anguina",85.2499923706,126.5,31.5
"221",-6704,3,"Myriopathes bifaria",85.2499923706,126.5,31.5
"222",-6694,1,"Bathypathes patula",4865.5,178.5,30.5
"223",-6693,3,"Alternatipathes alternata",4226.50048828,177.5,30.5
"224",-6693,3,"Bathypathes patula",4226.50048828,177.5,30.5
"225",-6693,3,"Abyssopathes lyra",4226.50048828,177.5,30.5
"226",-6692,1,"Abyssopathes lyra",5349.25,176.5,30.5
"227",-6691,1,"Abyssopathes lyra",5551.25,175.5,30.5
"228",-6690,1,"Bathypathes patula",5233.75,174.5,30.5
"229",-6689,1,"Bathypathes patula",5110.00048828,173.5,30.5
"230",-6688,3,"Alternatipathes alternata",4752.24902344,172.5,30.5
"231",-6688,3,"Schizopathes affinis",4752.24902344,172.5,30.5
"232",-6688,3,"Bathypathes patula",4752.24902344,172.5,30.5
"233",-6672,1,"Bathypathes patula",4995.75048828,156.5,30.5
"234",-6656,4,"Cirrhipathes spiralis",947.000061035,140.5,30.5
"235",-6656,4,"Trissopathes pseudotristicha",947.000061035,140.5,30.5
"236",-6656,4,"Stichopathes spiessi",947.000061035,140.5,30.5
"237",-6656,4,"Dendropathes intermedia",947.000061035,140.5,30.5
"238",-6655,3,"Trissopathes pseudotristicha",1768.49987793,139.5,30.5
"239",-6655,3,"Stichopathes spiessi",1768.49987793,139.5,30.5
"240",-6655,3,"Cirrhipathes spiralis",1768.49987793,139.5,30.5
"241",-6647,2,"Stichopathes spiessi",1739.00012207,131.5,30.5
"242",-6647,2,"Trissopathes pseudotristicha",1739.00012207,131.5,30.5
"243",-6646,5,"Cirrhipathes anguina",138.75,130.5,30.5
"244",-6646,5,"Antipathes densa",138.75,130.5,30.5
"245",-6646,5,"Myriopathes bifaria",138.75,130.5,30.5
"246",-6646,5,"Myriopathes myriophylla",138.75,130.5,30.5
"247",-6646,5,"Myriopathes ulex",138.75,130.5,30.5
"248",-6645,4,"Myriopathes myriophylla",238.000457764,129.5,30.5
"249",-6645,4,"Cirrhipathes anguina",238.000457764,129.5,30.5
"250",-6645,4,"Antipathes densa",238.000457764,129.5,30.5
"251",-6645,4,"Myriopathes ulex",238.000457764,129.5,30.5
"252",-6644,1,"Stichopathes spiessi",800.75,128.5,30.5
"253",-6643,5,"Antipathes densa",132.999984741,127.5,30.5
"254",-6643,5,"Myriopathes ulex",132.999984741,127.5,30.5
"255",-6643,5,"Cirrhipathes anguina",132.999984741,127.5,30.5
"256",-6643,5,"Myriopathes bifaria",132.999984741,127.5,30.5
"257",-6643,5,"Myriopathes japonica",132.999984741,127.5,30.5
"258",-6642,3,"Cirrhipathes anguina",82.2500076294,126.5,30.5
"259",-6642,3,"Myriopathes japonica",82.2500076294,126.5,30.5
"260",-6642,3,"Myriopathes bifaria",82.2500076294,126.5,30.5
"261",-6632,1,"Bathypathes patula",5275.75,178.5,29.5
"262",-6631,2,"Bathypathes patula",5252.5,177.5,29.5
"263",-6631,2,"Abyssopathes lyra",5252.5,177.5,29.5
"264",-6630,3,"Alternatipathes alternata",5087.25,176.5,29.5
"265",-6630,3,"Abyssopathes lyra",5087.25,176.5,29.5
"266",-6630,3,"Bathypathes patula",5087.25,176.5,29.5
"267",-6629,1,"Abyssopathes lyra",5536,175.5,29.5
"268",-6628,1,"Bathypathes patula",5248.5,174.5,29.5
"269",-6627,3,"Bathypathes patula",4060.74975586,173.5,29.5
"270",-6627,3,"Alternatipathes alternata",4060.74975586,173.5,29.5
"271",-6627,3,"Schizopathes affinis",4060.74975586,173.5,29.5
"272",-6607,4,"Cirrhipathes spiralis",1345,153.5,29.5
"273",-6607,4,"Bathypathes patula",1345,153.5,29.5
"274",-6607,4,"Stichopathes spiessi",1345,153.5,29.5
"275",-6607,4,"Trissopathes pseudotristicha",1345,153.5,29.5
"276",-6584,2,"Trissopathes pseudotristicha",786.249572754,130.5,29.5
"277",-6584,2,"Stichopathes spiessi",786.249572754,130.5,29.5
"278",-6583,1,"Stichopathes spiessi",821.499694824,129.5,29.5
"279",-6582,1,"Stichopathes spiessi",1004,128.5,29.5
"280",-6581,1,"Stichopathes spiessi",491.999847412,127.5,29.5
"281",-6580,3,"Cirrhipathes anguina",104.25,126.5,29.5
"282",-6580,3,"Myriopathes japonica",104.25,126.5,29.5
"283",-6580,3,"Myriopathes bifaria",104.25,126.5,29.5
"284",-6579,1,"Cirrhipathes anguina",92,125.5,29.5
"285",-6569,2,"Bathypathes patula",5119,177.5,28.5
"286",-6569,2,"Abyssopathes lyra",5119,177.5,28.5
"287",-6568,2,"Bathypathes patula",5186.75,176.5,28.5
"288",-6568,2,"Abyssopathes lyra",5186.75,176.5,28.5
"289",-6567,1,"Abyssopathes lyra",5417.75,175.5,28.5
"290",-6566,1,"Abyssopathes lyra",5633.5,174.5,28.5
"291",-6534,1,"Bathypathes patula",2931.99926758,142.5,28.5
"292",-6532,1,"Trissopathes pseudotristicha",2526.5,140.5,28.5
"293",-6521,5,"Myriopathes ulex",294.000061035,129.5,28.5
"294",-6521,5,"Myriopathes myriophylla",294.000061035,129.5,28.5
"295",-6521,5,"Cirrhipathes anguina",294.000061035,129.5,28.5
"296",-6521,5,"Antipathes densa",294.000061035,129.5,28.5
"297",-6521,5,"Myriopathes japonica",294.000061035,129.5,28.5
"298",-6520,1,"Stichopathes spiessi",939.999938965,128.5,28.5
"299",-6519,1,"Stichopathes spiessi",1101,127.5,28.5
"300",-6518,4,"Myriopathes bifaria",137,126.5,28.5
"301",-6518,4,"Cirrhipathes anguina",137,126.5,28.5
"302",-6518,4,"Myriopathes myriophylla",137,126.5,28.5
"303",-6518,4,"Myriopathes japonica",137,126.5,28.5
"304",-6517,1,"Cirrhipathes anguina",108.25,125.5,28.5
"305",-6508,1,"Bathypathes patula",5200.25,178.5,27.5
"306",-6507,1,"Abyssopathes lyra",5576,177.5,27.5
"307",-6506,1,"Abyssopathes lyra",5622.25,176.5,27.5
"308",-6505,1,"Abyssopathes lyra",5603.75,175.5,27.5
"309",-6474,1,"Bathypathes patula",3691.24926758,144.5,27.5
"310",-6472,4,"Cirrhipathes spiralis",1662.49987793,142.5,27.5
"311",-6472,4,"Trissopathes pseudotristicha",1662.49987793,142.5,27.5
"312",-6472,4,"Bathypathes patula",1662.49987793,142.5,27.5
"313",-6472,4,"Stichopathes spiessi",1662.49987793,142.5,27.5
"314",-6470,1,"Trissopathes pseudotristicha",2579.49975586,140.5,27.5
"315",-6459,2,"Cirrhipathes spiralis",1638.74975586,129.5,27.5
"316",-6459,2,"Stichopathes spiessi",1638.74975586,129.5,27.5
"317",-6458,1,"Stichopathes spiessi",1006,128.5,27.5
"318",-6457,1,"Stichopathes spiessi",724.99987793,127.5,27.5
"319",-6456,1,"Stichopathes spiessi",1488.5,126.5,27.5
"320",-6455,3,"Myriopathes myriophylla",112,125.5,27.5
"321",-6455,3,"Cirrhipathes anguina",112,125.5,27.5
"322",-6455,3,"Myriopathes bifaria",112,125.5,27.5
"323",-6445,1,"Abyssopathes lyra",5455,177.5,26.5
"324",-6444,4,"Abyssopathes lyra",4912.74853516,176.5,26.5
"325",-6444,4,"Bathypathes patula",4912.74853516,176.5,26.5
"326",-6444,4,"Alternatipathes alternata",4912.74853516,176.5,26.5
"327",-6444,4,"Schizopathes affinis",4912.74853516,176.5,26.5
"328",-6443,1,"Abyssopathes lyra",5732.75,175.5,26.5
"329",-6413,1,"Bathypathes patula",5256.75,145.5,26.5
"330",-6412,1,"Bathypathes patula",2984.74975586,144.5,26.5
"331",-6411,1,"Bathypathes patula",4870.5,143.5,26.5
"332",-6410,4,"Trissopathes pseudotristicha",1759.25012207,142.5,26.5
"333",-6410,4,"Stichopathes spiessi",1759.25012207,142.5,26.5
"334",-6410,4,"Cirrhipathes spiralis",1759.25012207,142.5,26.5
"335",-6410,4,"Bathypathes patula",1759.25012207,142.5,26.5
"336",-6409,1,"Bathypathes patula",3541,141.5,26.5
"337",-6396,2,"Cirrhipathes spiralis",1276.74987793,128.5,26.5
"338",-6396,2,"Stichopathes spiessi",1276.74987793,128.5,26.5
"339",-6395,1,"Stichopathes spiessi",506.500274658,127.5,26.5
"340",-6394,1,"Stichopathes spiessi",1757.49987793,126.5,26.5
"341",-6392,1,"Myriopathes myriophylla",149.25,124.5,26.5
"342",-6380,1,"Abyssopathes lyra",5763.74951172,174.5,25.5
"343",-6357,1,"Bathypathes patula",4944.24951172,151.5,25.5
"344",-6355,1,"Bathypathes patula",3100.74829102,149.5,25.5
"345",-6354,1,"Bathypathes patula",4704.74951172,148.5,25.5
"346",-6350,1,"Bathypathes patula",4401,144.5,25.5
"347",-6349,2,"Bathypathes patula",2100.50048828,143.5,25.5
"348",-6349,2,"Trissopathes pseudotristicha",2100.50048828,143.5,25.5
"349",-6348,2,"Bathypathes patula",2209.75,142.5,25.5
"350",-6348,2,"Trissopathes pseudotristicha",2209.75,142.5,25.5
"351",-6347,2,"Trissopathes pseudotristicha",2745.74975586,141.5,25.5
"352",-6347,2,"Bathypathes patula",2745.74975586,141.5,25.5
"353",-6346,1,"Bathypathes patula",2814,140.5,25.5
"354",-6332,2,"Cirrhipathes anguina",376.749938965,126.5,25.5
"355",-6332,2,"Myriopathes myriophylla",376.749938965,126.5,25.5
"356",-6321,1,"Abyssopathes lyra",5771.75,177.5,24.5
"357",-6318,1,"Abyssopathes lyra",5634,174.5,24.5
"358",-6298,3,"Trissopathes pseudotristicha",2638.24926758,154.5,24.5
"359",-6298,3,"Bathypathes patula",2638.24926758,154.5,24.5
"360",-6298,3,"Schizopathes affinis",2638.24926758,154.5,24.5
"361",-6296,1,"Bathypathes patula",4961.25048828,152.5,24.5
"362",-6288,1,"Bathypathes patula",4802.5,144.5,24.5
"363",-6286,1,"Bathypathes patula",2825.24975586,142.5,24.5
"364",-6285,4,"Stichopathes spiessi",1589.74890137,141.5,24.5
"365",-6285,4,"Trissopathes pseudotristicha",1589.74890137,141.5,24.5
"366",-6285,4,"Cirrhipathes spiralis",1589.74890137,141.5,24.5
"367",-6285,4,"Bathypathes patula",1589.74890137,141.5,24.5
"368",-6284,1,"Bathypathes patula",2888.50048828,140.5,24.5
"369",-6283,1,"Bathypathes patula",4736.5,139.5,24.5
"370",-6259,1,"Abyssopathes lyra",5635.75,177.5,23.5
"371",-6258,1,"Abyssopathes lyra",5572.5,176.5,23.5
"372",-6257,4,"Schizopathes affinis",3988.99902344,175.5,23.5
"373",-6257,4,"Bathypathes patula",3988.99902344,175.5,23.5
"374",-6257,4,"Abyssopathes lyra",3988.99902344,175.5,23.5
"375",-6257,4,"Alternatipathes alternata",3988.99902344,175.5,23.5
"376",-6256,1,"Abyssopathes lyra",5576.50048828,174.5,23.5
"377",-6255,1,"Abyssopathes lyra",5644.75,173.5,23.5
"378",-6244,3,"Alternatipathes alternata",4836,162.5,23.5
"379",-6244,3,"Bathypathes patula",4836,162.5,23.5
"380",-6244,3,"Schizopathes affinis",4836,162.5,23.5
"381",-6243,1,"Bathypathes patula",5285.5,161.5,23.5
"382",-6241,3,"Schizopathes affinis",4755.25,159.5,23.5
"383",-6241,3,"Alternatipathes alternata",4755.25,159.5,23.5
"384",-6241,3,"Bathypathes patula",4755.25,159.5,23.5
"385",-6239,2,"Bathypathes patula",4049.00024414,157.5,23.5
"386",-6239,2,"Schizopathes affinis",4049.00024414,157.5,23.5
"387",-6235,1,"Bathypathes patula",4955.75,153.5,23.5
"388",-6234,1,"Bathypathes patula",5211.25,152.5,23.5
"389",-6230,1,"Bathypathes patula",3737.25146484,148.5,23.5
"390",-6225,1,"Bathypathes patula",5043,143.5,23.5
"391",-6224,1,"Bathypathes patula",3138.5,142.5,23.5
"392",-6223,5,"Stichopathes spiessi",1191.50012207,141.5,23.5
"393",-6223,5,"Trissopathes pseudotristicha",1191.50012207,141.5,23.5
"394",-6223,5,"Cirrhipathes spiralis",1191.50012207,141.5,23.5
"395",-6223,5,"Bathypathes patula",1191.50012207,141.5,23.5
"396",-6223,5,"Dendropathes intermedia",1191.50012207,141.5,23.5
"397",-6222,1,"Bathypathes patula",4071.25,140.5,23.5
"398",-6221,1,"Bathypathes patula",4459.25,139.5,23.5
"399",-6197,1,"Abyssopathes lyra",5413.75,177.5,22.5
"400",-6196,4,"Bathypathes patula",4742.5,176.5,22.5
"401",-6196,4,"Alternatipathes alternata",4742.5,176.5,22.5
"402",-6196,4,"Abyssopathes lyra",4742.5,176.5,22.5
"403",-6196,4,"Schizopathes affinis",4742.5,176.5,22.5
"404",-6195,4,"Alternatipathes alternata",3731.49975586,175.5,22.5
"405",-6195,4,"Schizopathes affinis",3731.49975586,175.5,22.5
"406",-6195,4,"Abyssopathes lyra",3731.49975586,175.5,22.5
"407",-6195,4,"Bathypathes patula",3731.49975586,175.5,22.5
"408",-6194,2,"Bathypathes patula",5136.75,174.5,22.5
"409",-6194,2,"Abyssopathes lyra",5136.75,174.5,22.5
"410",-6193,1,"Abyssopathes lyra",5479.74951172,173.5,22.5
"411",-6192,1,"Abyssopathes lyra",5577.75,172.5,22.5
"412",-6191,1,"Abyssopathes lyra",5689.75,171.5,22.5
"413",-6182,1,"Bathypathes patula",5196.25,162.5,22.5
"414",-6181,3,"Alternatipathes alternata",3093.49853516,161.5,22.5
