"","TARGET_FID","richness","species1","depth","x","y","min_depth","max_depth","min_lat","max_lat"
"26",734,1,"Bathypathes patula",3104.25,-173.5,-67.5,273,5303.52,-68.120833,59.04833
"27",735,1,"Bathypathes patula",3643.75,-172.5,-67.5,273,5303.52,-68.120833,59.04833
"28",736,1,"Bathypathes patula",3621.5,-171.5,-67.5,273,5303.52,-68.120833,59.04833
"29",737,1,"Bathypathes patula",3365.75,-170.5,-67.5,273,5303.52,-68.120833,59.04833
"30",738,1,"Bathypathes patula",3645.75024414,-169.5,-67.5,273,5303.52,-68.120833,59.04833
"31",739,1,"Bathypathes patula",2291,-168.5,-67.5,273,5303.52,-68.120833,59.04833
"32",740,1,"Bathypathes patula",3575.25,-167.5,-67.5,273,5303.52,-68.120833,59.04833
"33",741,1,"Bathypathes patula",3688.5,-166.5,-67.5,273,5303.52,-68.120833,59.04833
"34",742,1,"Bathypathes patula",3509.75,-165.5,-67.5,273,5303.52,-68.120833,59.04833
"35",743,1,"Bathypathes patula",4188.75,-164.5,-67.5,273,5303.52,-68.120833,59.04833
"36",801,1,"Alternatipathes alternata",4500.75,-106.5,-67.5,182,5089,-70.333328,56.350281
"37",802,1,"Alternatipathes alternata",4610,-105.5,-67.5,182,5089,-70.333328,56.350281
"38",803,1,"Alternatipathes alternata",4648.5,-104.5,-67.5,182,5089,-70.333328,56.350281
"39",804,1,"Alternatipathes alternata",4623,-103.5,-67.5,182,5089,-70.333328,56.350281
"40",805,1,"Alternatipathes alternata",4624,-102.5,-67.5,182,5089,-70.333328,56.350281
"41",806,1,"Alternatipathes alternata",4629,-101.5,-67.5,182,5089,-70.333328,56.350281
"42",807,1,"Alternatipathes alternata",4623,-100.5,-67.5,182,5089,-70.333328,56.350281
"43",808,1,"Alternatipathes alternata",4611.25,-99.5,-67.5,182,5089,-70.333328,56.350281
"44",809,1,"Alternatipathes alternata",4562.75,-98.5,-67.5,182,5089,-70.333328,56.350281
"45",810,1,"Alternatipathes alternata",4658.75,-97.5,-67.5,182,5089,-70.333328,56.350281
"46",811,1,"Alternatipathes alternata",4627.75,-96.5,-67.5,182,5089,-70.333328,56.350281
"47",812,1,"Alternatipathes alternata",4414,-95.5,-67.5,182,5089,-70.333328,56.350281
"48",813,1,"Alternatipathes alternata",4549.75,-94.5,-67.5,182,5089,-70.333328,56.350281
"49",814,1,"Alternatipathes alternata",4514.5,-93.5,-67.5,182,5089,-70.333328,56.350281
"50",815,1,"Alternatipathes alternata",4541.25,-92.5,-67.5,182,5089,-70.333328,56.350281
"51",816,1,"Alternatipathes alternata",4688,-91.5,-67.5,182,5089,-70.333328,56.350281
"52",817,2,"Abyssopathes lyra",4216,-90.5,-67.5,2050,5772.36,-67.916672,36.17
"53",817,2,"Alternatipathes alternata",4216,-90.5,-67.5,182,5089,-70.333328,56.350281
"54",832,1,"Bathypathes patula",3678.75,-179.5,-66.5,273,5303.52,-68.120833,59.04833
"55",833,1,"Bathypathes patula",3307.5,-178.5,-66.5,273,5303.52,-68.120833,59.04833
"56",834,1,"Bathypathes patula",2628.5,-177.5,-66.5,273,5303.52,-68.120833,59.04833
"57",835,1,"Bathypathes patula",2576.25,-176.5,-66.5,273,5303.52,-68.120833,59.04833
"58",836,1,"Bathypathes patula",2804.5,-175.5,-66.5,273,5303.52,-68.120833,59.04833
"59",837,1,"Bathypathes patula",3454.5,-174.5,-66.5,273,5303.52,-68.120833,59.04833
"60",838,1,"Bathypathes patula",3383.25,-173.5,-66.5,273,5303.52,-68.120833,59.04833
"61",839,1,"Bathypathes patula",3475,-172.5,-66.5,273,5303.52,-68.120833,59.04833
"62",840,1,"Bathypathes patula",3132.75,-171.5,-66.5,273,5303.52,-68.120833,59.04833
"63",841,1,"Bathypathes patula",3099.25,-170.5,-66.5,273,5303.52,-68.120833,59.04833
"64",842,1,"Bathypathes patula",3563.75,-169.5,-66.5,273,5303.52,-68.120833,59.04833
"65",843,1,"Bathypathes patula",3642.5,-168.5,-66.5,273,5303.52,-68.120833,59.04833
"66",844,1,"Bathypathes patula",3933.5,-167.5,-66.5,273,5303.52,-68.120833,59.04833
"67",845,1,"Bathypathes patula",3423.25,-166.5,-66.5,273,5303.52,-68.120833,59.04833
"68",846,1,"Bathypathes patula",3265,-165.5,-66.5,273,5303.52,-68.120833,59.04833
"69",847,1,"Bathypathes patula",3799,-164.5,-66.5,273,5303.52,-68.120833,59.04833
"70",848,1,"Bathypathes patula",3723,-163.5,-66.5,273,5303.52,-68.120833,59.04833
"71",849,1,"Bathypathes patula",3251.5,-162.5,-66.5,273,5303.52,-68.120833,59.04833
"72",850,1,"Bathypathes patula",3481.5,-161.5,-66.5,273,5303.52,-68.120833,59.04833
"73",851,1,"Bathypathes patula",3427.75,-160.5,-66.5,273,5303.52,-68.120833,59.04833
"74",852,1,"Bathypathes patula",4547.5,-159.5,-66.5,273,5303.52,-68.120833,59.04833
"75",853,1,"Bathypathes patula",3345.5,-158.5,-66.5,273,5303.52,-68.120833,59.04833
"76",854,1,"Bathypathes patula",3912.25,-157.5,-66.5,273,5303.52,-68.120833,59.04833
"77",855,1,"Bathypathes patula",4032.5,-156.5,-66.5,273,5303.52,-68.120833,59.04833
"78",856,1,"Bathypathes patula",4474,-155.5,-66.5,273,5303.52,-68.120833,59.04833
"79",857,1,"Bathypathes patula",4033.75,-154.5,-66.5,273,5303.52,-68.120833,59.04833
"80",858,1,"Bathypathes patula",4180,-153.5,-66.5,273,5303.52,-68.120833,59.04833
"81",859,1,"Bathypathes patula",4665.5,-152.5,-66.5,273,5303.52,-68.120833,59.04833
"82",860,1,"Bathypathes patula",3898.75,-151.5,-66.5,273,5303.52,-68.120833,59.04833
"83",861,1,"Bathypathes patula",4255.5,-150.5,-66.5,273,5303.52,-68.120833,59.04833
"84",862,1,"Bathypathes patula",4195.75,-149.5,-66.5,273,5303.52,-68.120833,59.04833
"85",863,1,"Bathypathes patula",4131.5,-148.5,-66.5,273,5303.52,-68.120833,59.04833
"86",864,1,"Bathypathes patula",4290.25,-147.5,-66.5,273,5303.52,-68.120833,59.04833
"87",865,1,"Bathypathes patula",4404.5,-146.5,-66.5,273,5303.52,-68.120833,59.04833
"88",866,1,"Bathypathes patula",4367.25,-145.5,-66.5,273,5303.52,-68.120833,59.04833
"89",867,1,"Bathypathes patula",4128.5,-144.5,-66.5,273,5303.52,-68.120833,59.04833
"90",868,1,"Bathypathes patula",4269,-143.5,-66.5,273,5303.52,-68.120833,59.04833
"91",869,1,"Bathypathes patula",4213,-142.5,-66.5,273,5303.52,-68.120833,59.04833
"92",870,1,"Bathypathes patula",4138,-141.5,-66.5,273,5303.52,-68.120833,59.04833
"93",871,1,"Bathypathes patula",4040.25,-140.5,-66.5,273,5303.52,-68.120833,59.04833
"94",903,1,"Alternatipathes alternata",4664,-108.5,-66.5,182,5089,-70.333328,56.350281
"95",904,1,"Alternatipathes alternata",4745.75,-107.5,-66.5,182,5089,-70.333328,56.350281
"96",905,1,"Alternatipathes alternata",4741.25,-106.5,-66.5,182,5089,-70.333328,56.350281
"97",906,1,"Alternatipathes alternata",4773,-105.5,-66.5,182,5089,-70.333328,56.350281
"98",907,1,"Alternatipathes alternata",4776.25,-104.5,-66.5,182,5089,-70.333328,56.350281
"99",908,1,"Alternatipathes alternata",4798,-103.5,-66.5,182,5089,-70.333328,56.350281
"100",909,1,"Alternatipathes alternata",4771,-102.5,-66.5,182,5089,-70.333328,56.350281
"101",910,1,"Alternatipathes alternata",4787.25,-101.5,-66.5,182,5089,-70.333328,56.350281
"102",911,1,"Alternatipathes alternata",4783.25,-100.5,-66.5,182,5089,-70.333328,56.350281
"103",912,1,"Alternatipathes alternata",4724.5,-99.5,-66.5,182,5089,-70.333328,56.350281
"104",913,1,"Alternatipathes alternata",4718,-98.5,-66.5,182,5089,-70.333328,56.350281
"105",914,1,"Alternatipathes alternata",4735.75,-97.5,-66.5,182,5089,-70.333328,56.350281
"106",915,1,"Alternatipathes alternata",4777.25,-96.5,-66.5,182,5089,-70.333328,56.350281
"107",916,1,"Alternatipathes alternata",4414,-95.5,-66.5,182,5089,-70.333328,56.350281
"108",917,1,"Alternatipathes alternata",4620.75,-94.5,-66.5,182,5089,-70.333328,56.350281
"109",918,1,"Alternatipathes alternata",4725,-93.5,-66.5,182,5089,-70.333328,56.350281
"110",919,2,"Abyssopathes lyra",4671,-92.5,-66.5,2050,5772.36,-67.916672,36.17
"111",919,2,"Alternatipathes alternata",4671,-92.5,-66.5,182,5089,-70.333328,56.350281
"112",920,2,"Abyssopathes lyra",4602.75,-91.5,-66.5,2050,5772.36,-67.916672,36.17
"113",920,2,"Alternatipathes alternata",4602.75,-91.5,-66.5,182,5089,-70.333328,56.350281
"114",921,2,"Abyssopathes lyra",4502.5,-90.5,-66.5,2050,5772.36,-67.916672,36.17
"115",921,2,"Alternatipathes alternata",4502.5,-90.5,-66.5,182,5089,-70.333328,56.350281
"116",922,2,"Abyssopathes lyra",4521.5,-89.5,-66.5,2050,5772.36,-67.916672,36.17
"117",922,2,"Alternatipathes alternata",4521.5,-89.5,-66.5,182,5089,-70.333328,56.350281
"118",936,1,"Bathypathes patula",2694,-179.5,-65.5,273,5303.52,-68.120833,59.04833
"119",937,1,"Bathypathes patula",2802.25,-178.5,-65.5,273,5303.52,-68.120833,59.04833
"120",938,1,"Bathypathes patula",3053.25,-177.5,-65.5,273,5303.52,-68.120833,59.04833
"121",939,1,"Bathypathes patula",2359,-176.5,-65.5,273,5303.52,-68.120833,59.04833
"122",940,1,"Bathypathes patula",2635.75,-175.5,-65.5,273,5303.52,-68.120833,59.04833
"123",941,1,"Bathypathes patula",2504,-174.5,-65.5,273,5303.52,-68.120833,59.04833
"124",942,1,"Bathypathes patula",2703.5,-173.5,-65.5,273,5303.52,-68.120833,59.04833
"125",943,1,"Bathypathes patula",2919.5,-172.5,-65.5,273,5303.52,-68.120833,59.04833
"126",944,1,"Bathypathes patula",2905,-171.5,-65.5,273,5303.52,-68.120833,59.04833
"127",945,1,"Bathypathes patula",2984.25,-170.5,-65.5,273,5303.52,-68.120833,59.04833
"128",946,1,"Bathypathes patula",2977,-169.5,-65.5,273,5303.52,-68.120833,59.04833
"129",947,1,"Bathypathes patula",2776.25,-168.5,-65.5,273,5303.52,-68.120833,59.04833
"130",948,1,"Bathypathes patula",3254.25,-167.5,-65.5,273,5303.52,-68.120833,59.04833
"131",949,1,"Bathypathes patula",3069.75,-166.5,-65.5,273,5303.52,-68.120833,59.04833
"132",950,1,"Bathypathes patula",3101,-165.5,-65.5,273,5303.52,-68.120833,59.04833
"133",951,1,"Bathypathes patula",3100.5,-164.5,-65.5,273,5303.52,-68.120833,59.04833
"134",952,1,"Bathypathes patula",3188,-163.5,-65.5,273,5303.52,-68.120833,59.04833
"135",953,1,"Bathypathes patula",3604.25,-162.5,-65.5,273,5303.52,-68.120833,59.04833
"136",954,1,"Bathypathes patula",3628.75,-161.5,-65.5,273,5303.52,-68.120833,59.04833
"137",955,1,"Bathypathes patula",3684,-160.5,-65.5,273,5303.52,-68.120833,59.04833
"138",956,1,"Bathypathes patula",3565,-159.5,-65.5,273,5303.52,-68.120833,59.04833
"139",957,1,"Bathypathes patula",3636,-158.5,-65.5,273,5303.52,-68.120833,59.04833
"140",958,1,"Bathypathes patula",4449,-157.5,-65.5,273,5303.52,-68.120833,59.04833
"141",959,1,"Bathypathes patula",3620.25,-156.5,-65.5,273,5303.52,-68.120833,59.04833
"142",960,1,"Bathypathes patula",4814,-155.5,-65.5,273,5303.52,-68.120833,59.04833
"143",961,1,"Bathypathes patula",4100.5,-154.5,-65.5,273,5303.52,-68.120833,59.04833
"144",962,1,"Bathypathes patula",3952,-153.5,-65.5,273,5303.52,-68.120833,59.04833
"145",963,1,"Bathypathes patula",4166,-152.5,-65.5,273,5303.52,-68.120833,59.04833
"146",964,1,"Bathypathes patula",3846.5,-151.5,-65.5,273,5303.52,-68.120833,59.04833
"147",965,1,"Bathypathes patula",4114.5,-150.5,-65.5,273,5303.52,-68.120833,59.04833
"148",966,1,"Bathypathes patula",4259,-149.5,-65.5,273,5303.52,-68.120833,59.04833
"149",967,1,"Bathypathes patula",3740.25,-148.5,-65.5,273,5303.52,-68.120833,59.04833
"150",968,1,"Bathypathes patula",4465.75,-147.5,-65.5,273,5303.52,-68.120833,59.04833
"151",969,1,"Bathypathes patula",4042.75,-146.5,-65.5,273,5303.52,-68.120833,59.04833
"152",970,1,"Bathypathes patula",3495.75,-145.5,-65.5,273,5303.52,-68.120833,59.04833
"153",971,1,"Bathypathes patula",4004.75,-144.5,-65.5,273,5303.52,-68.120833,59.04833
"154",972,1,"Bathypathes patula",3541.75,-143.5,-65.5,273,5303.52,-68.120833,59.04833
"155",973,1,"Bathypathes patula",4070,-142.5,-65.5,273,5303.52,-68.120833,59.04833
"156",974,1,"Bathypathes patula",4003.75,-141.5,-65.5,273,5303.52,-68.120833,59.04833
"157",975,1,"Bathypathes patula",4141.5,-140.5,-65.5,273,5303.52,-68.120833,59.04833
"158",976,1,"Bathypathes patula",3804.5,-139.5,-65.5,273,5303.52,-68.120833,59.04833
"159",977,1,"Bathypathes patula",4498.5,-138.5,-65.5,273,5303.52,-68.120833,59.04833
"160",978,1,"Bathypathes patula",4343,-137.5,-65.5,273,5303.52,-68.120833,59.04833
"161",979,1,"Bathypathes patula",4256,-136.5,-65.5,273,5303.52,-68.120833,59.04833
"162",980,1,"Bathypathes patula",4504,-135.5,-65.5,273,5303.52,-68.120833,59.04833
"163",981,1,"Bathypathes patula",4299.5,-134.5,-65.5,273,5303.52,-68.120833,59.04833
"164",982,1,"Bathypathes patula",4627.25,-133.5,-65.5,273,5303.52,-68.120833,59.04833
"165",983,1,"Bathypathes patula",4678.25,-132.5,-65.5,273,5303.52,-68.120833,59.04833
"166",984,1,"Bathypathes patula",4767.25,-131.5,-65.5,273,5303.52,-68.120833,59.04833
"167",985,1,"Bathypathes patula",4759.5,-130.5,-65.5,273,5303.52,-68.120833,59.04833
"168",986,1,"Bathypathes patula",4745.25,-129.5,-65.5,273,5303.52,-68.120833,59.04833
"169",987,1,"Bathypathes patula",4819.25,-128.5,-65.5,273,5303.52,-68.120833,59.04833
"170",988,1,"Bathypathes patula",4724,-127.5,-65.5,273,5303.52,-68.120833,59.04833
"171",989,1,"Bathypathes patula",4796,-126.5,-65.5,273,5303.52,-68.120833,59.04833
"172",990,1,"Bathypathes patula",4821.75,-125.5,-65.5,273,5303.52,-68.120833,59.04833
"173",991,1,"Bathypathes patula",4806.75,-124.5,-65.5,273,5303.52,-68.120833,59.04833
"174",992,1,"Bathypathes patula",4779.5,-123.5,-65.5,273,5303.52,-68.120833,59.04833
"175",993,1,"Bathypathes patula",4800.25,-122.5,-65.5,273,5303.52,-68.120833,59.04833
"176",994,1,"Bathypathes patula",4876.5,-121.5,-65.5,273,5303.52,-68.120833,59.04833
"177",995,1,"Bathypathes patula",4909.25,-120.5,-65.5,273,5303.52,-68.120833,59.04833
"178",996,1,"Bathypathes patula",4928,-119.5,-65.5,273,5303.52,-68.120833,59.04833
"179",997,1,"Bathypathes patula",4957.5,-118.5,-65.5,273,5303.52,-68.120833,59.04833
"180",998,1,"Bathypathes patula",4947.25,-117.5,-65.5,273,5303.52,-68.120833,59.04833
"181",999,1,"Bathypathes patula",4922.75,-116.5,-65.5,273,5303.52,-68.120833,59.04833
"182",1004,1,"Alternatipathes alternata",4887.75,-111.5,-65.5,182,5089,-70.333328,56.350281
"183",1005,1,"Alternatipathes alternata",4741.75,-110.5,-65.5,182,5089,-70.333328,56.350281
"184",1006,1,"Alternatipathes alternata",4827.25,-109.5,-65.5,182,5089,-70.333328,56.350281
"185",1007,1,"Alternatipathes alternata",4654,-108.5,-65.5,182,5089,-70.333328,56.350281
"186",1008,1,"Alternatipathes alternata",4842.75,-107.5,-65.5,182,5089,-70.333328,56.350281
"187",1009,1,"Alternatipathes alternata",4863,-106.5,-65.5,182,5089,-70.333328,56.350281
"188",1010,1,"Alternatipathes alternata",5037,-105.5,-65.5,182,5089,-70.333328,56.350281
"189",1011,1,"Alternatipathes alternata",4821.5,-104.5,-65.5,182,5089,-70.333328,56.350281
"190",1012,1,"Alternatipathes alternata",4887.25,-103.5,-65.5,182,5089,-70.333328,56.350281
"191",1013,1,"Alternatipathes alternata",4851.75,-102.5,-65.5,182,5089,-70.333328,56.350281
"192",1014,1,"Alternatipathes alternata",4817,-101.5,-65.5,182,5089,-70.333328,56.350281
"193",1015,1,"Alternatipathes alternata",4864,-100.5,-65.5,182,5089,-70.333328,56.350281
"194",1016,1,"Alternatipathes alternata",4838.25,-99.5,-65.5,182,5089,-70.333328,56.350281
"195",1017,1,"Alternatipathes alternata",4787,-98.5,-65.5,182,5089,-70.333328,56.350281
"196",1018,1,"Alternatipathes alternata",4790.5,-97.5,-65.5,182,5089,-70.333328,56.350281
"197",1019,1,"Alternatipathes alternata",4716.75,-96.5,-65.5,182,5089,-70.333328,56.350281
"198",1020,1,"Alternatipathes alternata",4749.75,-95.5,-65.5,182,5089,-70.333328,56.350281
"199",1021,2,"Abyssopathes lyra",4745.25,-94.5,-65.5,2050,5772.36,-67.916672,36.17
"200",1021,2,"Alternatipathes alternata",4745.25,-94.5,-65.5,182,5089,-70.333328,56.350281
"201",1022,2,"Abyssopathes lyra",4656.5,-93.5,-65.5,2050,5772.36,-67.916672,36.17
"202",1022,2,"Alternatipathes alternata",4656.5,-93.5,-65.5,182,5089,-70.333328,56.350281
"203",1023,2,"Abyssopathes lyra",4928.75,-92.5,-65.5,2050,5772.36,-67.916672,36.17
"204",1023,2,"Alternatipathes alternata",4928.75,-92.5,-65.5,182,5089,-70.333328,56.350281
"205",1024,2,"Abyssopathes lyra",4585.75,-91.5,-65.5,2050,5772.36,-67.916672,36.17
"206",1024,2,"Alternatipathes alternata",4585.75,-91.5,-65.5,182,5089,-70.333328,56.350281
"207",1025,1,"Alternatipathes alternata",369.25,-90.5,-65.5,182,5089,-70.333328,56.350281
"208",1026,2,"Abyssopathes lyra",4621.5,-89.5,-65.5,2050,5772.36,-67.916672,36.17
"209",1026,2,"Alternatipathes alternata",4621.5,-89.5,-65.5,182,5089,-70.333328,56.350281
"210",1027,2,"Abyssopathes lyra",4625.25,-88.5,-65.5,2050,5772.36,-67.916672,36.17
"211",1027,2,"Alternatipathes alternata",4625.25,-88.5,-65.5,182,5089,-70.333328,56.350281
"212",1040,1,"Bathypathes patula",2868.25,-179.5,-64.5,273,5303.52,-68.120833,59.04833
"213",1041,1,"Bathypathes patula",2597.75,-178.5,-64.5,273,5303.52,-68.120833,59.04833
"214",1042,1,"Bathypathes patula",2904.75,-177.5,-64.5,273,5303.52,-68.120833,59.04833
"215",1043,1,"Bathypathes patula",3085.75,-176.5,-64.5,273,5303.52,-68.120833,59.04833
"216",1044,1,"Bathypathes patula",2841,-175.5,-64.5,273,5303.52,-68.120833,59.04833
"217",1045,1,"Bathypathes patula",2871.75,-174.5,-64.5,273,5303.52,-68.120833,59.04833
"218",1046,1,"Bathypathes patula",2959,-173.5,-64.5,273,5303.52,-68.120833,59.04833
"219",1047,1,"Bathypathes patula",2598.25,-172.5,-64.5,273,5303.52,-68.120833,59.04833
"220",1048,1,"Bathypathes patula",2578.5,-171.5,-64.5,273,5303.52,-68.120833,59.04833
"221",1049,1,"Bathypathes patula",2676.75,-170.5,-64.5,273,5303.52,-68.120833,59.04833
"222",1050,1,"Bathypathes patula",2391,-169.5,-64.5,273,5303.52,-68.120833,59.04833
"223",1051,1,"Bathypathes patula",2592.25,-168.5,-64.5,273,5303.52,-68.120833,59.04833
"224",1052,1,"Bathypathes patula",2787,-167.5,-64.5,273,5303.52,-68.120833,59.04833
"225",1053,1,"Bathypathes patula",2871.75,-166.5,-64.5,273,5303.52,-68.120833,59.04833
"226",1054,1,"Bathypathes patula",3125.5,-165.5,-64.5,273,5303.52,-68.120833,59.04833
"227",1055,1,"Bathypathes patula",3209.75,-164.5,-64.5,273,5303.52,-68.120833,59.04833
"228",1056,1,"Bathypathes patula",3114.5,-163.5,-64.5,273,5303.52,-68.120833,59.04833
"229",1057,1,"Bathypathes patula",3675,-162.5,-64.5,273,5303.52,-68.120833,59.04833
"230",1058,1,"Bathypathes patula",3128.75,-161.5,-64.5,273,5303.52,-68.120833,59.04833
"231",1059,1,"Bathypathes patula",4652.5,-160.5,-64.5,273,5303.52,-68.120833,59.04833
"232",1060,1,"Bathypathes patula",3603,-159.5,-64.5,273,5303.52,-68.120833,59.04833
"233",1061,1,"Bathypathes patula",3435,-158.5,-64.5,273,5303.52,-68.120833,59.04833
"234",1062,1,"Bathypathes patula",3360.25,-157.5,-64.5,273,5303.52,-68.120833,59.04833
"235",1063,1,"Bathypathes patula",3466.25,-156.5,-64.5,273,5303.52,-68.120833,59.04833
"236",1064,1,"Bathypathes patula",3327.25,-155.5,-64.5,273,5303.52,-68.120833,59.04833
"237",1065,1,"Bathypathes patula",4106,-154.5,-64.5,273,5303.52,-68.120833,59.04833
"238",1066,1,"Bathypathes patula",3690.75,-153.5,-64.5,273,5303.52,-68.120833,59.04833
"239",1067,1,"Bathypathes patula",4064.5,-152.5,-64.5,273,5303.52,-68.120833,59.04833
"240",1068,1,"Bathypathes patula",3596.5,-151.5,-64.5,273,5303.52,-68.120833,59.04833
"241",1069,1,"Bathypathes patula",3838,-150.5,-64.5,273,5303.52,-68.120833,59.04833
"242",1070,1,"Bathypathes patula",4132,-149.5,-64.5,273,5303.52,-68.120833,59.04833
"243",1071,1,"Bathypathes patula",3642.5,-148.5,-64.5,273,5303.52,-68.120833,59.04833
"244",1072,1,"Bathypathes patula",4794.25,-147.5,-64.5,273,5303.52,-68.120833,59.04833
"245",1073,1,"Bathypathes patula",4571.25,-146.5,-64.5,273,5303.52,-68.120833,59.04833
"246",1074,1,"Bathypathes patula",2753.5,-145.5,-64.5,273,5303.52,-68.120833,59.04833
"247",1075,1,"Bathypathes patula",4073,-144.5,-64.5,273,5303.52,-68.120833,59.04833
"248",1076,1,"Bathypathes patula",3849.5,-143.5,-64.5,273,5303.52,-68.120833,59.04833
"249",1077,1,"Bathypathes patula",3448,-142.5,-64.5,273,5303.52,-68.120833,59.04833
"250",1078,1,"Bathypathes patula",4280.5,-141.5,-64.5,273,5303.52,-68.120833,59.04833
"251",1079,1,"Bathypathes patula",4326.25,-140.5,-64.5,273,5303.52,-68.120833,59.04833
"252",1080,1,"Bathypathes patula",4132.25,-139.5,-64.5,273,5303.52,-68.120833,59.04833
"253",1081,1,"Bathypathes patula",4239.25,-138.5,-64.5,273,5303.52,-68.120833,59.04833
"254",1082,1,"Bathypathes patula",4299.75,-137.5,-64.5,273,5303.52,-68.120833,59.04833
"255",1083,1,"Bathypathes patula",4199.5,-136.5,-64.5,273,5303.52,-68.120833,59.04833
"256",1084,1,"Bathypathes patula",4646.75,-135.5,-64.5,273,5303.52,-68.120833,59.04833
"257",1085,1,"Bathypathes patula",4765.25,-134.5,-64.5,273,5303.52,-68.120833,59.04833
"258",1086,1,"Bathypathes patula",4736,-133.5,-64.5,273,5303.52,-68.120833,59.04833
"259",1087,1,"Bathypathes patula",4604.5,-132.5,-64.5,273,5303.52,-68.120833,59.04833
"260",1088,1,"Bathypathes patula",4830.5,-131.5,-64.5,273,5303.52,-68.120833,59.04833
"261",1089,1,"Bathypathes patula",4666.25,-130.5,-64.5,273,5303.52,-68.120833,59.04833
"262",1090,1,"Bathypathes patula",4856.5,-129.5,-64.5,273,5303.52,-68.120833,59.04833
"263",1091,1,"Bathypathes patula",4906.5,-128.5,-64.5,273,5303.52,-68.120833,59.04833
"264",1092,1,"Bathypathes patula",4873.25,-127.5,-64.5,273,5303.52,-68.120833,59.04833
"265",1093,1,"Bathypathes patula",4931.75,-126.5,-64.5,273,5303.52,-68.120833,59.04833
"266",1094,1,"Bathypathes patula",4886,-125.5,-64.5,273,5303.52,-68.120833,59.04833
"267",1095,1,"Bathypathes patula",4936,-124.5,-64.5,273,5303.52,-68.120833,59.04833
"268",1096,1,"Bathypathes patula",4930.5,-123.5,-64.5,273,5303.52,-68.120833,59.04833
"269",1097,1,"Bathypathes patula",4920.25,-122.5,-64.5,273,5303.52,-68.120833,59.04833
"270",1098,1,"Bathypathes patula",4954.75,-121.5,-64.5,273,5303.52,-68.120833,59.04833
"271",1099,1,"Bathypathes patula",4969.5,-120.5,-64.5,273,5303.52,-68.120833,59.04833
"272",1100,1,"Bathypathes patula",4995,-119.5,-64.5,273,5303.52,-68.120833,59.04833
"273",1101,1,"Bathypathes patula",4981,-118.5,-64.5,273,5303.52,-68.120833,59.04833
"274",1102,1,"Bathypathes patula",4985.25,-117.5,-64.5,273,5303.52,-68.120833,59.04833
"275",1103,1,"Bathypathes patula",4966,-116.5,-64.5,273,5303.52,-68.120833,59.04833
"276",1104,1,"Bathypathes patula",4973.75,-115.5,-64.5,273,5303.52,-68.120833,59.04833
"277",1105,1,"Bathypathes patula",4993.25,-114.5,-64.5,273,5303.52,-68.120833,59.04833
"278",1106,2,"Alternatipathes alternata",5074,-113.5,-64.5,182,5089,-70.333328,56.350281
"279",1106,2,"Bathypathes patula",5074,-113.5,-64.5,273,5303.52,-68.120833,59.04833
