"","TARGET_FID","richness","species","depth","x","y"
"109",912,1,"Alternatipathes alternata",4724.5,-99.5,-66.5
"110",913,1,"Alternatipathes alternata",4718,-98.5,-66.5
"111",914,1,"Alternatipathes alternata",4735.75,-97.5,-66.5
"112",915,1,"Alternatipathes alternata",4777.25,-96.5,-66.5
"113",916,1,"Alternatipathes alternata",4414,-95.5,-66.5
"114",917,1,"Alternatipathes alternata",4620.75,-94.5,-66.5
"115",918,1,"Alternatipathes alternata",4725,-93.5,-66.5
"116",919,2,"Abyssopathes lyra",4671,-92.5,-66.5
"117",919,2,"Alternatipathes alternata",4671,-92.5,-66.5
"118",920,2,"Abyssopathes lyra",4602.75,-91.5,-66.5
"119",920,2,"Alternatipathes alternata",4602.75,-91.5,-66.5
"120",921,2,"Abyssopathes lyra",4502.5,-90.5,-66.5
"121",921,2,"Alternatipathes alternata",4502.5,-90.5,-66.5
"122",922,2,"Abyssopathes lyra",4521.5,-89.5,-66.5
"123",922,2,"Alternatipathes alternata",4521.5,-89.5,-66.5
"124",936,1,"Bathypathes patula",2694,-179.5,-65.5
"125",937,2,"Bathypathes patula",2802.25,-178.5,-65.5
"126",937,2,"Stylopathes columnaris",2802.25,-178.5,-65.5
"127",938,1,"Bathypathes patula",3053.25,-177.5,-65.5
"128",939,1,"Bathypathes patula",2359,-176.5,-65.5
"129",940,1,"Bathypathes patula",2635.75,-175.5,-65.5
"130",941,1,"Bathypathes patula",2504,-174.5,-65.5
"131",942,1,"Bathypathes patula",2703.5,-173.5,-65.5
"132",943,1,"Bathypathes patula",2919.5,-172.5,-65.5
"133",944,1,"Bathypathes patula",2905,-171.5,-65.5
"134",945,1,"Bathypathes patula",2984.25,-170.5,-65.5
"135",946,1,"Bathypathes patula",2977,-169.5,-65.5
"136",947,1,"Bathypathes patula",2776.25,-168.5,-65.5
"137",948,1,"Bathypathes patula",3254.25,-167.5,-65.5
"138",949,1,"Bathypathes patula",3069.75,-166.5,-65.5
"139",950,1,"Bathypathes patula",3101,-165.5,-65.5
"140",951,1,"Bathypathes patula",3100.5,-164.5,-65.5
"141",952,1,"Bathypathes patula",3188,-163.5,-65.5
"142",953,1,"Bathypathes patula",3604.25,-162.5,-65.5
"143",954,1,"Bathypathes patula",3628.75,-161.5,-65.5
"144",955,1,"Bathypathes patula",3684,-160.5,-65.5
"145",956,1,"Bathypathes patula",3565,-159.5,-65.5
"146",957,1,"Bathypathes patula",3636,-158.5,-65.5
"147",958,1,"Bathypathes patula",4449,-157.5,-65.5
"148",959,1,"Bathypathes patula",3620.25,-156.5,-65.5
"149",960,1,"Bathypathes patula",4814,-155.5,-65.5
"150",961,1,"Bathypathes patula",4100.5,-154.5,-65.5
"151",962,1,"Bathypathes patula",3952,-153.5,-65.5
"152",963,1,"Bathypathes patula",4166,-152.5,-65.5
"153",964,1,"Bathypathes patula",3846.5,-151.5,-65.5
"154",965,1,"Bathypathes patula",4114.5,-150.5,-65.5
"155",966,1,"Bathypathes patula",4259,-149.5,-65.5
"156",967,1,"Bathypathes patula",3740.25,-148.5,-65.5
"157",968,1,"Bathypathes patula",4465.75,-147.5,-65.5
"158",969,1,"Bathypathes patula",4042.75,-146.5,-65.5
"159",970,1,"Bathypathes patula",3495.75,-145.5,-65.5
"160",971,1,"Bathypathes patula",4004.75,-144.5,-65.5
"161",972,1,"Bathypathes patula",3541.75,-143.5,-65.5
"162",973,1,"Bathypathes patula",4070,-142.5,-65.5
"163",974,1,"Bathypathes patula",4003.75,-141.5,-65.5
"164",975,1,"Bathypathes patula",4141.5,-140.5,-65.5
"165",976,1,"Bathypathes patula",3804.5,-139.5,-65.5
"166",977,1,"Bathypathes patula",4498.5,-138.5,-65.5
"167",978,1,"Bathypathes patula",4343,-137.5,-65.5
"168",979,1,"Bathypathes patula",4256,-136.5,-65.5
"169",980,1,"Bathypathes patula",4504,-135.5,-65.5
"170",981,1,"Bathypathes patula",4299.5,-134.5,-65.5
"171",982,1,"Bathypathes patula",4627.25,-133.5,-65.5
"172",983,1,"Bathypathes patula",4678.25,-132.5,-65.5
"173",984,1,"Bathypathes patula",4767.25,-131.5,-65.5
"174",985,1,"Bathypathes patula",4759.5,-130.5,-65.5
"175",986,1,"Bathypathes patula",4745.25,-129.5,-65.5
"176",987,1,"Bathypathes patula",4819.25,-128.5,-65.5
"177",988,1,"Bathypathes patula",4724,-127.5,-65.5
"178",989,1,"Bathypathes patula",4796,-126.5,-65.5
"179",990,1,"Bathypathes patula",4821.75,-125.5,-65.5
"180",991,1,"Bathypathes patula",4806.75,-124.5,-65.5
"181",992,1,"Bathypathes patula",4779.5,-123.5,-65.5
"182",993,1,"Bathypathes patula",4800.25,-122.5,-65.5
"183",994,1,"Bathypathes patula",4876.5,-121.5,-65.5
"184",995,1,"Bathypathes patula",4909.25,-120.5,-65.5
"185",996,1,"Bathypathes patula",4928,-119.5,-65.5
"186",997,1,"Bathypathes patula",4957.5,-118.5,-65.5
"187",998,1,"Bathypathes patula",4947.25,-117.5,-65.5
"188",999,1,"Bathypathes patula",4922.75,-116.5,-65.5
"189",1004,1,"Alternatipathes alternata",4887.75,-111.5,-65.5
"190",1005,1,"Alternatipathes alternata",4741.75,-110.5,-65.5
"191",1006,1,"Alternatipathes alternata",4827.25,-109.5,-65.5
"192",1007,1,"Alternatipathes alternata",4654,-108.5,-65.5
"193",1008,1,"Alternatipathes alternata",4842.75,-107.5,-65.5
"194",1009,1,"Alternatipathes alternata",4863,-106.5,-65.5
"195",1010,1,"Alternatipathes alternata",5037,-105.5,-65.5
"196",1011,1,"Alternatipathes alternata",4821.5,-104.5,-65.5
"197",1012,1,"Alternatipathes alternata",4887.25,-103.5,-65.5
"198",1013,1,"Alternatipathes alternata",4851.75,-102.5,-65.5
"199",1014,1,"Alternatipathes alternata",4817,-101.5,-65.5
"200",1015,1,"Alternatipathes alternata",4864,-100.5,-65.5
"201",1016,1,"Alternatipathes alternata",4838.25,-99.5,-65.5
"202",1017,1,"Alternatipathes alternata",4787,-98.5,-65.5
"203",1018,1,"Alternatipathes alternata",4790.5,-97.5,-65.5
"204",1019,1,"Alternatipathes alternata",4716.75,-96.5,-65.5
"205",1020,1,"Alternatipathes alternata",4749.75,-95.5,-65.5
"206",1021,2,"Abyssopathes lyra",4745.25,-94.5,-65.5
"207",1021,2,"Alternatipathes alternata",4745.25,-94.5,-65.5
"208",1022,2,"Abyssopathes lyra",4656.5,-93.5,-65.5
"209",1022,2,"Alternatipathes alternata",4656.5,-93.5,-65.5
"210",1023,2,"Abyssopathes lyra",4928.75,-92.5,-65.5
"211",1023,2,"Alternatipathes alternata",4928.75,-92.5,-65.5
"212",1024,2,"Abyssopathes lyra",4585.75,-91.5,-65.5
"213",1024,2,"Alternatipathes alternata",4585.75,-91.5,-65.5
"214",1025,2,"Abyssopathes lyra",369.25,-90.5,-65.5
"215",1025,2,"Alternatipathes alternata",369.25,-90.5,-65.5
"216",1026,2,"Abyssopathes lyra",4621.5,-89.5,-65.5
"217",1026,2,"Alternatipathes alternata",4621.5,-89.5,-65.5
"218",1027,2,"Abyssopathes lyra",4625.25,-88.5,-65.5
"219",1027,2,"Alternatipathes alternata",4625.25,-88.5,-65.5
"220",1040,1,"Bathypathes patula",2868.25,-179.5,-64.5
"221",1041,2,"Bathypathes patula",2597.75,-178.5,-64.5
"222",1041,2,"Stylopathes columnaris",2597.75,-178.5,-64.5
"223",1042,1,"Bathypathes patula",2904.75,-177.5,-64.5
"224",1043,1,"Bathypathes patula",3085.75,-176.5,-64.5
"225",1044,1,"Bathypathes patula",2841,-175.5,-64.5
"226",1045,1,"Bathypathes patula",2871.75,-174.5,-64.5
"227",1046,1,"Bathypathes patula",2959,-173.5,-64.5
"228",1047,1,"Bathypathes patula",2598.25,-172.5,-64.5
"229",1048,1,"Bathypathes patula",2578.5,-171.5,-64.5
"230",1049,1,"Bathypathes patula",2676.75,-170.5,-64.5
"231",1050,1,"Bathypathes patula",2391,-169.5,-64.5
"232",1051,1,"Bathypathes patula",2592.25,-168.5,-64.5
"233",1052,1,"Bathypathes patula",2787,-167.5,-64.5
"234",1053,1,"Bathypathes patula",2871.75,-166.5,-64.5
"235",1054,1,"Bathypathes patula",3125.5,-165.5,-64.5
"236",1055,1,"Bathypathes patula",3209.75,-164.5,-64.5
"237",1056,1,"Bathypathes patula",3114.5,-163.5,-64.5
"238",1057,1,"Bathypathes patula",3675,-162.5,-64.5
"239",1058,1,"Bathypathes patula",3128.75,-161.5,-64.5
"240",1059,1,"Bathypathes patula",4652.5,-160.5,-64.5
"241",1060,1,"Bathypathes patula",3603,-159.5,-64.5
"242",1061,1,"Bathypathes patula",3435,-158.5,-64.5
"243",1062,1,"Bathypathes patula",3360.25,-157.5,-64.5
"244",1063,1,"Bathypathes patula",3466.25,-156.5,-64.5
"245",1064,1,"Bathypathes patula",3327.25,-155.5,-64.5
"246",1065,1,"Bathypathes patula",4106,-154.5,-64.5
"247",1066,1,"Bathypathes patula",3690.75,-153.5,-64.5
"248",1067,1,"Bathypathes patula",4064.5,-152.5,-64.5
"249",1068,1,"Bathypathes patula",3596.5,-151.5,-64.5
"250",1069,1,"Bathypathes patula",3838,-150.5,-64.5
"251",1070,1,"Bathypathes patula",4132,-149.5,-64.5
"252",1071,1,"Bathypathes patula",3642.5,-148.5,-64.5
"253",1072,1,"Bathypathes patula",4794.25,-147.5,-64.5
"254",1073,1,"Bathypathes patula",4571.25,-146.5,-64.5
"255",1074,1,"Bathypathes patula",2753.5,-145.5,-64.5
"256",1075,1,"Bathypathes patula",4073,-144.5,-64.5
"257",1076,1,"Bathypathes patula",3849.5,-143.5,-64.5
"258",1077,1,"Bathypathes patula",3448,-142.5,-64.5
"259",1078,1,"Bathypathes patula",4280.5,-141.5,-64.5
"260",1079,1,"Bathypathes patula",4326.25,-140.5,-64.5
"261",1080,1,"Bathypathes patula",4132.25,-139.5,-64.5
"262",1081,1,"Bathypathes patula",4239.25,-138.5,-64.5
"263",1082,1,"Bathypathes patula",4299.75,-137.5,-64.5
"264",1083,1,"Bathypathes patula",4199.5,-136.5,-64.5
"265",1084,1,"Bathypathes patula",4646.75,-135.5,-64.5
"266",1085,1,"Bathypathes patula",4765.25,-134.5,-64.5
"267",1086,1,"Bathypathes patula",4736,-133.5,-64.5
"268",1087,1,"Bathypathes patula",4604.5,-132.5,-64.5
"269",1088,1,"Bathypathes patula",4830.5,-131.5,-64.5
"270",1089,1,"Bathypathes patula",4666.25,-130.5,-64.5
"271",1090,1,"Bathypathes patula",4856.5,-129.5,-64.5
"272",1091,1,"Bathypathes patula",4906.5,-128.5,-64.5
"273",1092,1,"Bathypathes patula",4873.25,-127.5,-64.5
"274",1093,1,"Bathypathes patula",4931.75,-126.5,-64.5
"275",1094,1,"Bathypathes patula",4886,-125.5,-64.5
"276",1095,1,"Bathypathes patula",4936,-124.5,-64.5
"277",1096,1,"Bathypathes patula",4930.5,-123.5,-64.5
"278",1097,1,"Bathypathes patula",4920.25,-122.5,-64.5
"279",1098,1,"Bathypathes patula",4954.75,-121.5,-64.5
"280",1099,1,"Bathypathes patula",4969.5,-120.5,-64.5
"281",1100,1,"Bathypathes patula",4995,-119.5,-64.5
"282",1101,1,"Bathypathes patula",4981,-118.5,-64.5
"283",1102,1,"Bathypathes patula",4985.25,-117.5,-64.5
"284",1103,1,"Bathypathes patula",4966,-116.5,-64.5
"285",1104,1,"Bathypathes patula",4973.75,-115.5,-64.5
"286",1105,1,"Bathypathes patula",4993.25,-114.5,-64.5
"287",1106,2,"Alternatipathes alternata",5074,-113.5,-64.5
"288",1106,2,"Bathypathes patula",5074,-113.5,-64.5
"289",1107,2,"Alternatipathes alternata",5083,-112.5,-64.5
"290",1107,2,"Bathypathes patula",5083,-112.5,-64.5
"291",1108,2,"Alternatipathes alternata",5103.75,-111.5,-64.5
"292",1108,2,"Bathypathes patula",5103.75,-111.5,-64.5
"293",1109,2,"Alternatipathes alternata",5073,-110.5,-64.5
"294",1109,2,"Bathypathes patula",5073,-110.5,-64.5
"295",1110,2,"Alternatipathes alternata",5026,-109.5,-64.5
"296",1110,2,"Bathypathes patula",5026,-109.5,-64.5
"297",1111,2,"Alternatipathes alternata",4992.75,-108.5,-64.5
"298",1111,2,"Bathypathes patula",4992.75,-108.5,-64.5
"299",1112,2,"Alternatipathes alternata",4993.75,-107.5,-64.5
"300",1112,2,"Bathypathes patula",4993.75,-107.5,-64.5
"301",1113,2,"Alternatipathes alternata",5008.5,-106.5,-64.5
"302",1113,2,"Bathypathes patula",5008.5,-106.5,-64.5
"303",1114,2,"Alternatipathes alternata",5018.75,-105.5,-64.5
"304",1114,2,"Bathypathes patula",5018.75,-105.5,-64.5
"305",1115,2,"Alternatipathes alternata",4978.25,-104.5,-64.5
"306",1115,2,"Bathypathes patula",4978.25,-104.5,-64.5
"307",1116,2,"Alternatipathes alternata",4982.75,-103.5,-64.5
"308",1116,2,"Bathypathes patula",4982.75,-103.5,-64.5
"309",1117,2,"Alternatipathes alternata",4977,-102.5,-64.5
"310",1117,2,"Bathypathes patula",4977,-102.5,-64.5
"311",1118,2,"Alternatipathes alternata",4953,-101.5,-64.5
"312",1118,2,"Bathypathes patula",4953,-101.5,-64.5
"313",1119,2,"Alternatipathes alternata",4967,-100.5,-64.5
"314",1119,2,"Bathypathes patula",4967,-100.5,-64.5
"315",1120,2,"Alternatipathes alternata",4930,-99.5,-64.5
"316",1120,2,"Bathypathes patula",4930,-99.5,-64.5
"317",1121,2,"Alternatipathes alternata",4931.5,-98.5,-64.5
"318",1121,2,"Bathypathes patula",4931.5,-98.5,-64.5
"319",1122,2,"Alternatipathes alternata",4890,-97.5,-64.5
"320",1122,2,"Bathypathes patula",4890,-97.5,-64.5
"321",1123,2,"Alternatipathes alternata",4877,-96.5,-64.5
"322",1123,2,"Bathypathes patula",4877,-96.5,-64.5
"323",1124,3,"Abyssopathes lyra",4865.5,-95.5,-64.5
"324",1124,3,"Alternatipathes alternata",4865.5,-95.5,-64.5
"325",1124,3,"Bathypathes patula",4865.5,-95.5,-64.5
"326",1125,3,"Abyssopathes lyra",4765.5,-94.5,-64.5
"327",1125,3,"Alternatipathes alternata",4765.5,-94.5,-64.5
"328",1125,3,"Bathypathes patula",4765.5,-94.5,-64.5
"329",1126,3,"Abyssopathes lyra",4625.25,-93.5,-64.5
"330",1126,3,"Alternatipathes alternata",4625.25,-93.5,-64.5
"331",1126,3,"Bathypathes patula",4625.25,-93.5,-64.5
"332",1127,3,"Abyssopathes lyra",4728,-92.5,-64.5
"333",1127,3,"Alternatipathes alternata",4728,-92.5,-64.5
"334",1127,3,"Bathypathes patula",4728,-92.5,-64.5
"335",1128,3,"Abyssopathes lyra",3274.25,-91.5,-64.5
"336",1128,3,"Alternatipathes alternata",3274.25,-91.5,-64.5
"337",1128,3,"Bathypathes patula",3274.25,-91.5,-64.5
"338",1129,2,"Abyssopathes lyra",4710.75,-90.5,-64.5
"339",1129,2,"Alternatipathes alternata",4710.75,-90.5,-64.5
"340",1130,2,"Abyssopathes lyra",4468.75,-89.5,-64.5
"341",1130,2,"Alternatipathes alternata",4468.75,-89.5,-64.5
"342",1144,1,"Bathypathes patula",3177,-179.5,-63.5
"343",1145,2,"Bathypathes patula",3464.25,-178.5,-63.5
"344",1145,2,"Stylopathes columnaris",3464.25,-178.5,-63.5
"345",1146,2,"Bathypathes patula",3518,-177.5,-63.5
"346",1146,2,"Lillipathes lillei",3518,-177.5,-63.5
"347",1147,1,"Bathypathes patula",3526.75,-176.5,-63.5
"348",1148,1,"Bathypathes patula",3646.25,-175.5,-63.5
"349",1149,1,"Bathypathes patula",3119.75,-174.5,-63.5
"350",1150,1,"Bathypathes patula",3149.25,-173.5,-63.5
"351",1151,1,"Bathypathes patula",2689.25,-172.5,-63.5
"352",1152,1,"Bathypathes patula",3014.75,-171.5,-63.5
"353",1153,1,"Bathypathes patula",2910,-170.5,-63.5
"354",1154,1,"Bathypathes patula",2813.5,-169.5,-63.5
"355",1155,1,"Bathypathes patula",2586.25,-168.5,-63.5
"356",1156,1,"Bathypathes patula",2406,-167.5,-63.5
"357",1157,1,"Bathypathes patula",2703.75,-166.5,-63.5
"358",1158,1,"Bathypathes patula",2641.75,-165.5,-63.5
"359",1159,1,"Bathypathes patula",2745.75,-164.5,-63.5
"360",1160,1,"Bathypathes patula",2480,-163.5,-63.5
"361",1161,1,"Bathypathes patula",2883.5,-162.5,-63.5
"362",1162,1,"Bathypathes patula",2986,-161.5,-63.5
"363",1163,1,"Bathypathes patula",2935.5,-160.5,-63.5
"364",1164,1,"Bathypathes patula",2882,-159.5,-63.5
"365",1165,1,"Bathypathes patula",2791.75,-158.5,-63.5
"366",1166,1,"Bathypathes patula",2882.25,-157.5,-63.5
"367",1167,1,"Bathypathes patula",3154.25,-156.5,-63.5
"368",1168,1,"Bathypathes patula",3213.25,-155.5,-63.5
"369",1169,1,"Bathypathes patula",3086.5,-154.5,-63.5
"370",1170,1,"Bathypathes patula",3176.5,-153.5,-63.5
"371",1171,1,"Bathypathes patula",3183.25,-152.5,-63.5
"372",1172,1,"Bathypathes patula",3694.75,-151.5,-63.5
"373",1173,1,"Bathypathes patula",3556,-150.5,-63.5
"374",1174,1,"Bathypathes patula",4154.25,-149.5,-63.5
"375",1175,1,"Bathypathes patula",3419.25,-148.5,-63.5
"376",1176,1,"Bathypathes patula",4032.75,-147.5,-63.5
"377",1177,1,"Bathypathes patula",4109.5,-146.5,-63.5
"378",1178,1,"Bathypathes patula",3725,-145.5,-63.5
"379",1179,1,"Bathypathes patula",3725,-144.5,-63.5
"380",1180,1,"Bathypathes patula",3997.75,-143.5,-63.5
"381",1181,1,"Bathypathes patula",4310,-142.5,-63.5
"382",1182,1,"Bathypathes patula",4121.5,-141.5,-63.5
"383",1183,1,"Bathypathes patula",4440.25,-140.5,-63.5
"384",1184,1,"Bathypathes patula",4502,-139.5,-63.5
"385",1185,1,"Bathypathes patula",3974,-138.5,-63.5
"386",1186,1,"Bathypathes patula",4799.75,-137.5,-63.5
"387",1187,1,"Bathypathes patula",4761.75,-136.5,-63.5
"388",1188,1,"Bathypathes patula",4531,-135.5,-63.5
"389",1189,1,"Bathypathes patula",4702,-134.5,-63.5
"390",1190,1,"Bathypathes patula",4629.25,-133.5,-63.5
"391",1191,1,"Bathypathes patula",5065.5,-132.5,-63.5
"392",1192,1,"Bathypathes patula",4373.25,-131.5,-63.5
"393",1193,1,"Bathypathes patula",4876.5,-130.5,-63.5
"394",1194,1,"Bathypathes patula",4995,-129.5,-63.5
"395",1195,1,"Bathypathes patula",4724.75,-128.5,-63.5
"396",1196,1,"Bathypathes patula",4827,-127.5,-63.5
"397",1197,1,"Bathypathes patula",4905.5,-126.5,-63.5
"398",1198,1,"Bathypathes patula",5012,-125.5,-63.5
"399",1199,1,"Bathypathes patula",4975.25,-124.5,-63.5
"400",1200,1,"Bathypathes patula",4971,-123.5,-63.5
"401",1201,1,"Bathypathes patula",4982,-122.5,-63.5
"402",1202,1,"Bathypathes patula",4962.5,-121.5,-63.5
"403",1203,1,"Bathypathes patula",5049.75,-120.5,-63.5
"404",1204,1,"Bathypathes patula",5041.25,-119.5,-63.5
"405",1205,1,"Bathypathes patula",4946.25,-118.5,-63.5
"406",1206,1,"Bathypathes patula",5033.75,-117.5,-63.5
"407",1207,2,"Alternatipathes alternata",5167.75,-116.5,-63.5
"408",1207,2,"Bathypathes patula",5167.75,-116.5,-63.5
"409",1208,2,"Alternatipathes alternata",5120,-115.5,-63.5
"410",1208,2,"Bathypathes patula",5120,-115.5,-63.5
"411",1209,2,"Alternatipathes alternata",5154.75,-114.5,-63.5
"412",1209,2,"Bathypathes patula",5154.75,-114.5,-63.5
"413",1210,2,"Alternatipathes alternata",5144.75,-113.5,-63.5
"414",1210,2,"Bathypathes patula",5144.75,-113.5,-63.5
"415",1211,2,"Alternatipathes alternata",5131,-112.5,-63.5
"416",1211,2,"Bathypathes patula",5131,-112.5,-63.5
"417",1212,2,"Alternatipathes alternata",5132.75,-111.5,-63.5
"418",1212,2,"Bathypathes patula",5132.75,-111.5,-63.5
"419",1213,2,"Alternatipathes alternata",5137.75,-110.5,-63.5
"420",1213,2,"Bathypathes patula",5137.75,-110.5,-63.5
"421",1214,2,"Alternatipathes alternata",5141,-109.5,-63.5
"422",1214,2,"Bathypathes patula",5141,-109.5,-63.5
"423",1215,2,"Alternatipathes alternata",5144.75,-108.5,-63.5
"424",1215,2,"Bathypathes patula",5144.75,-108.5,-63.5
"425",1216,2,"Alternatipathes alternata",5145,-107.5,-63.5
"426",1216,2,"Bathypathes patula",5145,-107.5,-63.5
"427",1217,2,"Alternatipathes alternata",5151,-106.5,-63.5
"428",1217,2,"Bathypathes patula",5151,-106.5,-63.5
